=== 凱利策略分析 (資料日期: 20260306) ===
代號         |    最佳策略    |      勝率 |     期望報酬 | 今日狀態
2374.TW    |   brain    |   48.3% |    1.02% | ☠ 立即止損
1443.TW    | strong_support |   38.5% |    1.26% | 觀望
6141.TW    |   brain    |   50.0% |    0.66% | ★★★ 強力買進
5243.TW    | reversion  |   80.6% |    4.34% | 觀望
2303.TW    |   brain    |   47.6% |    1.41% | ☠ 立即止損
3372.TWO   |   brain    |   46.8% |    1.25% | 觀望
4968.TW    | long_trend |   68.5% |    5.09% | 🚪 趨勢結束
00991A.TW  | strong_support |    0.0% |    0.00% | 觀望
2351.TW    | reversion  |   68.3% |    4.13% | 觀望
2420.TW    | reversion  |   84.2% |    4.51% | 觀望
911622.TW  |   brain    |   28.9% |    0.31% | ☠ 立即止損
3499.TWO   |   brain    |   41.4% |    1.23% | ★★★ 強力買進
6223.TWO   |   brain    |   56.6% |    2.11% | 觀望
7583.TWO   | strong_support |   50.0% |    8.37% | 觀望
2059.TW    | long_trend |   53.9% |    2.88% | 觀望
3030.TW    | long_trend |   51.6% |    3.26% | 觀望
00918.TW   |   brain    |   53.3% |    0.63% | 觀望
3022.TW    |   brain    |   48.7% |    0.75% | ☠ 立即止損
2412.TW    | reversion  |    0.0% |    0.00% | 💰 乖離修正賣出
2428.TW    |   brain    |   46.3% |    0.52% | 觀望
4536.TW    |   brain    |   47.5% |    0.51% | 觀望
6173.TWO   |   brain    |   46.0% |    0.62% | ☠ 立即止損
3231.TW    | long_trend |   54.5% |    4.08% | 🚪 趨勢結束
2464.TW    |   brain    |   49.1% |    0.40% | ☠ 立即止損
2884.TW    | strong_support |   51.8% |    0.12% | 🛡️ 支撐進場
5355.TWO   | reversion  |   46.0% |   -0.05% | 觀望
6116.TW    |   brain    |   44.6% |    1.09% | ☠ 立即止損
2453.TW    |   brain    |   45.2% |    1.00% | ☠ 立即止損
6735.TWO   | strong_support |   47.1% |    3.34% | 觀望
3609.TWO   |   brain    |   42.5% |    0.74% | ☠ 立即止損
8923.TWO   | reversion  |    0.0% |    0.00% | 觀望
9958.TW    |   brain    |   48.7% |    2.63% | ☠ 立即止損
2885.TW    |   brain    |   49.2% |    0.32% | 觀望
8472.TWO   | long_trend |   52.5% |    9.54% | 🚪 趨勢結束
3306.TWO   | reversion  |   60.7% |    1.79% | 觀望
7792.TWO   | long_trend |   66.7% |   22.37% | 觀望
00881.TW   |   brain    |   55.9% |    0.56% | 觀望
1717.TW    |   brain    |   40.8% |    0.45% | ★★★ 強力買進
6127.TWO   |   brain    |   47.8% |    1.12% | 觀望
7556.TWO   |   brain    |   45.4% |    0.63% | 觀望
4763.TW    |   brain    |   49.7% |    1.11% | ☠ 立即止損
2535.TW    |   brain    |   52.7% |    0.41% | 觀望
2013.TW    | momentum_burst |   33.1% |    2.23% | 觀望
1714.TW    | reversion  |   78.6% |    3.48% | 💰 乖離修正賣出
3709.TWO   | strong_support |   42.6% |    2.30% | 觀望
2352.TW    | long_trend |   59.7% |    1.92% | 🚪 趨勢結束
1568.TW    | reversion  |   64.4% |    3.67% | 觀望
5475.TWO   | long_trend |   66.4% |    9.66% | 觀望
5289.TWO   |   brain    |   53.6% |    1.48% | 觀望
3587.TWO   |   brain    |   49.3% |    1.46% | 觀望
6532.TWO   | reversion  |   58.3% |    3.50% | 觀望
00927.TW   |   brain    |   62.6% |    1.38% | ☠ 立即止損
00950B.TWO | momentum_burst |  100.0% |    1.56% | 觀望
4529.TWO   | long_trend |   56.8% |    9.74% | 🚪 趨勢結束
3523.TWO   | reversion  |   51.4% |    5.26% | 觀望
4908.TWO   | momentum_burst |   47.8% |    1.46% | 觀望
3029.TW    |   brain    |   49.1% |    1.08% | 觀望
7769.TW    | strong_support |    0.0% |    0.00% | 觀望
4958.TW    |   brain    |   49.0% |    0.68% | 觀望
6245.TWO   | reversion  |   66.7% |    4.95% | 觀望
3583.TW    |   brain    |   49.6% |    1.21% | 觀望
00940.TW   | reversion  |  100.0% |    6.27% | 觀望
3706.TW    |   brain    |   49.5% |    1.01% | 觀望
5009.TWO   |   brain    |   49.5% |    0.42% | ★★★ 強力買進
3054.TW    | reversion  |   57.7% |    1.39% | 💰 乖離修正賣出
2031.TW    |   brain    |   52.2% |    1.30% | ☠ 立即止損
3317.TWO   | reversion  |   67.1% |    4.13% | 觀望
4416.TWO   | reversion  |   46.7% |   -2.92% | 觀望
6925.TWO   | long_trend |   47.1% |    7.26% | 🚪 趨勢結束
6285.TW    |   brain    |   49.3% |    0.27% | ☠ 立即止損
4744.TWO   |   brain    |   44.2% |    0.82% | 觀望
00642U.TW  | long_trend |   55.9% |    1.34% | 🚀 長線突破
6994.TW    |   brain    |   49.2% |    3.41% | ★★★ 強力買進
3576.TW    | long_trend |   48.1% |    6.37% | 觀望
8112.TW    |   brain    |   51.7% |    1.07% | ☠ 立即止損
00633L.TW  |   brain    |   47.6% |    0.56% | ☠ 立即止損
6642.TWO   | long_trend |   50.0% |    1.33% | 🚪 趨勢結束
00885.TW   | long_trend |   67.9% |    1.14% | 觀望
1721.TW    | strong_support |   37.5% |    1.31% | 觀望
6902.TW    | reversion  |   50.0% |    1.32% | 觀望
2461.TW    | reversion  |   84.2% |    4.83% | 觀望
6461.TWO   | reversion  |   58.2% |    1.89% | 💰 乖離修正賣出
7805.TWO   | strong_support |   55.6% |   -0.23% | 觀望
8131.TW    |   brain    |   53.8% |    0.66% | ☠ 立即止損
7752.TWO   | reversion  |   60.0% |    4.79% | 📉 超跌抄底
00637L.TW  | reversion  |   53.2% |    0.81% | 觀望
4538.TWO   | reversion  |   80.0% |    4.71% | 💰 乖離修正賣出
6962.TW    | reversion  |   80.0% |    3.05% | 觀望
3323.TWO   | reversion  |   63.0% |    4.40% | 觀望
00664R.TW  | reversion  |    0.0% |    0.00% | 💰 乖離修正賣出
8091.TWO   |   brain    |   50.4% |    0.85% | ☠ 立即止損
7810.TWO   | momentum_burst |   52.0% |    4.80% | 觀望
2434.TW    | momentum_burst |   36.4% |    1.37% | 觀望
7610.TW    |   brain    |   77.3% |   10.68% | 觀望
4952.TW    | reversion  |   77.6% |    4.75% | 💰 乖離修正賣出
1623.TW    | strong_support |    0.0% |    0.00% | 觀望
6187.TWO   |   brain    |   50.1% |    1.65% | 觀望
00980A.TW  |   brain    |   67.6% |    0.99% | 觀望
00929.TW   |   brain    |   56.2% |    0.72% | ☠ 立即止損
2252.TWO   | reversion  |   67.4% |    3.60% | 觀望
2034.TW    |   brain    |   45.1% |    0.28% | ☠ 立即止損
00947.TW   | long_trend |   69.2% |    3.39% | 觀望
3581.TWO   |   brain    |   49.5% |    1.56% | ☠ 立即止損
3380.TW    | reversion  |   69.0% |    3.75% | 觀望
