=== 凱利策略分析 (資料日期: 20260306) ===
代號         |    最佳策略    |      勝率 |     期望報酬 | 今日狀態
1726.TW    | reversion  |   80.0% |    2.36% | 觀望
00985B.TW  | reversion  |    0.0% |    0.00% | 💰 乖離修正賣出
7728.TWO   |   brain    |   51.5% |    4.27% | 觀望
2618.TW    |   brain    |   49.6% |    0.75% | ☠ 立即止損
8045.TW    |   brain    |   53.9% |    2.88% | 觀望
2489.TW    | long_trend |   55.4% |    3.54% | 觀望
6509.TWO   | reversion  |   66.7% |    3.86% | 💰 乖離修正賣出
2838.TW    | strong_support |   54.4% |    0.47% | 觀望
3501.TW    | long_trend |   55.4% |    0.55% | 🚪 趨勢結束
8039.TW    | strong_support |   42.9% |    0.28% | 觀望
3105.TWO   | long_trend |   53.8% |    2.21% | 觀望
8478.TW    |   brain    |   42.6% |    1.92% | ☠ 立即止損
3550.TW    | reversion  |   70.0% |    4.82% | 觀望
3432.TW    |   brain    |   42.4% |    0.93% | ☠ 立即止損
1514.TW    |   brain    |   49.9% |    0.75% | ☠ 立即止損
7750.TW    |   brain    |   73.3% |    7.54% | 觀望
6209.TW    |   brain    |   46.8% |    1.65% | ☠ 立即止損
4912.TW    | long_trend |   54.5% |    2.72% | 觀望
3015.TW    | reversion  |   68.2% |    2.94% | 觀望
3703.TW    | long_trend |   52.5% |    1.51% | 🚪 趨勢結束
1735.TW    | strong_support |   38.7% |    0.15% | 觀望
1522.TW    |   brain    |   45.2% |    0.93% | ☠ 立即止損
00712.TW   |   brain    |   51.6% |    0.15% | 觀望
00924.TW   | momentum_burst |  100.0% |    1.46% | 觀望
6196.TW    | long_trend |   56.8% |    2.21% | 觀望
5299.TWO   | momentum_burst |   43.4% |    1.45% | 觀望
3002.TW    | strong_support |   47.1% |    0.49% | 觀望
4989.TW    | strong_support |   48.9% |    1.18% | 觀望
6405.TW    |   brain    |   43.6% |    0.87% | 觀望
2423.TW    | reversion  |  100.0% |    4.64% | 觀望
1784.TWO   | long_trend |   41.0% |    2.00% | 觀望
6130.TWO   |   brain    |   39.9% |    1.47% | ☠ 立即止損
4749.TWO   |   brain    |   57.1% |    5.20% | ★★★ 強力買進
7823.TW    | strong_support |    0.0% |    0.00% | 觀望
00933B.TWO | reversion  |    0.0% |    0.00% | 💰 乖離修正賣出
5425.TWO   |   brain    |   46.7% |    0.69% | ☠ 立即止損
1307.TW    | reversion  |   73.3% |    4.64% | 💰 乖離修正賣出
2235.TWO   | reversion  |   63.6% |    1.21% | 觀望
3629.TWO   |   brain    |   47.3% |    3.27% | ☠ 立即止損
009815.TWO | strong_support |    0.0% |    0.00% | 觀望
6683.TWO   |   brain    |   54.3% |    3.31% | 觀望
1513.TW    |   brain    |   45.8% |    1.12% | ☠ 立即止損
00989A.TW  | strong_support |    0.0% |    0.00% | 觀望
3038.TW    | reversion  |   88.0% |   10.11% | 觀望
8996.TW    |   brain    |   52.6% |    1.72% | ☠ 立即止損
3465.TWO   | long_trend |   54.1% |    7.09% | 🚪 趨勢結束
2485.TW    | long_trend |   48.2% |    1.63% | 觀望
3708.TW    | long_trend |   54.1% |    4.10% | 觀望
1466.TW    | long_trend |   42.6% |    6.37% | 觀望
4533.TWO   |   brain    |   43.1% |    1.17% | ★★★ 強力買進
6855.TWO   | strong_support |   45.5% |    1.38% | 觀望
2108.TW    | long_trend |   56.6% |    4.30% | 觀望
1409.TW    | reversion  |   86.7% |    4.37% | 觀望
2049.TW    | long_trend |   49.7% |    0.79% | 觀望
00993A.TW  | strong_support |    0.0% |    0.00% | 觀望
6859.TWO   | momentum_burst |   52.6% |    1.38% | 觀望
6212.TWO   | long_trend |   45.6% |    1.47% | 🚪 趨勢結束
5474.TWO   |   brain    |   51.9% |    2.17% | ☠ 立即止損
8438.TW    | long_trend |   28.0% |    2.10% | 觀望
5351.TWO   | long_trend |   42.3% |    1.43% | 觀望
1560.TW    |   brain    |   49.4% |    0.73% | 觀望
9105.TW    | long_trend |   50.0% |    7.18% | 🚪 趨勢結束
2353.TW    | long_trend |   60.9% |    1.90% | 🚪 趨勢結束
2646.TW    | reversion  |    0.0% |    0.00% | 觀望
1736.TW    |   brain    |   46.0% |    0.77% | ☠ 立即止損
6982.TWO   | reversion  |   60.0% |    0.36% | 觀望
1593.TWO   | strong_support |   41.2% |    0.63% | 觀望
6190.TWO   | reversion  |   69.2% |    5.74% | 觀望
2331.TW    | reversion  |   53.8% |    1.33% | 觀望
6934.TW    | strong_support |    0.0% |    0.00% | 觀望
9910.TW    |   brain    |   48.1% |    0.46% | 觀望
5471.TW    | reversion  |   77.3% |    2.71% | 💰 乖離修正賣出
00909.TW   |   brain    |   67.6% |    1.98% | 觀望
3508.TWO   | long_trend |   43.2% |    6.96% | 觀望
2498.TW    | momentum_burst |   47.9% |    4.17% | 觀望
00753L.TW  |   brain    |   41.3% |    0.24% | ☠ 立即止損
6861.TW    | long_trend |   63.6% |   16.48% | 🚀 長線突破
8110.TW    |   brain    |   49.5% |    0.84% | ☠ 立即止損
2481.TW    |   brain    |   49.9% |    1.31% | 觀望
4722.TW    | long_trend |   50.3% |    2.11% | 觀望
5516.TWO   | strong_support |   41.2% |    0.29% | 觀望
5223.TWO   | long_trend |   31.0% |    0.57% | 觀望
3083.TWO   |   brain    |   43.2% |    0.60% | ☠ 立即止損
7777.TWO   |   brain    |   45.7% |    4.65% | ☠ 立即止損
2393.TW    | reversion  |   55.6% |    4.44% | 觀望
3615.TWO   | reversion  |   55.9% |    3.38% | 💰 乖離修正賣出
5205.TWO   |   brain    |   43.6% |    5.23% | 觀望
6937.TW    |   brain    |   43.8% |    2.84% | 觀望
1611.TW    | reversion  |   61.5% |    1.11% | 觀望
6230.TW    | long_trend |   46.1% |    2.82% | 觀望
2413.TW    | reversion  |   73.0% |    5.55% | 💰 乖離修正賣出
6887.TW    | strong_support |    0.0% |    0.00% | 觀望
6188.TWO   |   brain    |   50.7% |    0.85% | ☠ 立即止損
3535.TW    |   brain    |   46.1% |    1.71% | ★★★ 強力買進
2726.TWO   |   brain    |   52.2% |    1.26% | ☠ 立即止損
2103.TW    | reversion  |   60.7% |    2.88% | 💰 乖離修正賣出
6980.TWO   |   brain    |   44.7% |    4.37% | ☠ 立即止損
2317.TW    | long_trend |   53.0% |    1.65% | 觀望
1815.TWO   |   brain    |   49.1% |    0.87% | 觀望
6890.TW    |   brain    |   41.5% |    1.06% | ☠ 立即止損
2431.TW    | strong_support |   51.2% |    1.03% | 觀望
9921.TW    | reversion  |   48.3% |    0.70% | 觀望
6640.TWO   | long_trend |   50.9% |    6.82% | 觀望
2451.TW    | strong_support |   51.5% |    0.41% | 觀望
3526.TWO   | long_trend |   54.3% |    1.26% | 觀望
2010.TW    |   brain    |   44.4% |    0.96% | 觀望
00770.TW   | strong_support |   61.7% |    0.60% | 觀望
3234.TWO   | long_trend |   57.3% |    3.47% | 觀望
00795B.TWO | reversion  |    0.0% |    0.00% | 💰 乖離修正賣出
2302.TW    | reversion  |   59.5% |    5.02% | 觀望
6957.TW    | reversion  |   60.0% |    3.24% | 觀望
3025.TW    |   brain    |   50.7% |    2.64% | 觀望
5011.TWO   | reversion  |   57.1% |    1.05% | 💰 乖離修正賣出
8234.TWO   |   brain    |   48.6% |    1.02% | ☠ 立即止損
7714.TWO   |   brain    |   63.6% |    4.68% | 觀望
1432.TW    | reversion  |   58.3% |    2.19% | 觀望
3661.TW    |   brain    |   50.0% |    1.50% | ☠ 立即止損
3033.TW    | strong_support |   52.1% |    0.25% | 觀望
00646.TW   | reversion  |   66.7% |    3.87% | 觀望
6592.TW    | long_trend |   50.8% |    0.90% | 🚪 趨勢結束
2314.TW    | strong_support |   53.4% |    1.36% | 觀望
6451.TW    | momentum_burst |   54.7% |    3.28% | 觀望
3308.TW    | long_trend |   44.6% |    1.70% | 觀望
3712.TW    |   brain    |   47.4% |    2.05% | ☠ 立即止損
4123.TWO   |   brain    |   46.1% |    0.62% | ★★★ 強力買進
4973.TWO   | reversion  |   65.2% |    2.94% | 觀望
00720B.TWO | reversion  |  100.0% |   16.76% | 💰 乖離修正賣出
5225.TW    | reversion  |   60.9% |    2.74% | 觀望
1438.TW    | strong_support |   42.3% |    0.99% | 觀望
4927.TW    |   brain    |   50.5% |    0.89% | 觀望
3221.TWO   | reversion  |   53.5% |    1.85% | 💰 乖離修正賣出
00830.TW   | strong_support |   68.0% |    1.85% | 🛡️ 支撐進場
8150.TW    |   brain    |   50.4% |    0.54% | ★★★ 強力買進
6438.TW    | reversion  |   66.0% |    3.55% | 觀望
2359.TW    | long_trend |   45.5% |    6.74% | 🚪 趨勢結束
2891.TW    | reversion  |   83.3% |    5.44% | 觀望
6706.TW    |   brain    |   47.4% |    1.30% | 觀望
2455.TW    |   brain    |   50.0% |    0.97% | 觀望
8111.TWO   |   brain    |   44.0% |    1.66% | 觀望
2492.TW    |   brain    |   49.4% |    1.22% | 觀望
2347.TW    | reversion  |   57.1% |    1.98% | 觀望
00981B.TWO | momentum_burst |    0.0% |    0.00% | 觀望
3252.TWO   | reversion  |   54.5% |    2.31% | 💰 乖離修正賣出
6789.TW    |   brain    |   51.6% |    1.80% | 觀望
2404.TW    | long_trend |   61.4% |    2.53% | 觀望
4916.TW    |   brain    |   45.8% |    1.12% | ☠ 立即止損
00953B.TW  | reversion  |    0.0% |    0.00% | 觀望
1418.TW    | momentum_burst |   42.1% |    2.27% | 觀望
6138.TWO   |   brain    |   53.0% |    0.67% | ☠ 立即止損
6965.TW    | reversion  |   75.0% |    3.60% | 觀望
7812.TWO   | long_trend |    0.0% |    0.00% | 🚪 趨勢結束
2923.TW    | strong_support |   44.7% |    0.39% | 觀望
8477.TWO   | strong_support |   45.2% |   -0.19% | 觀望
1538.TW    | reversion  |   56.5% |    1.44% | 觀望
2466.TW    | momentum_burst |   41.4% |    4.59% | 觀望
2367.TW    |   brain    |   48.5% |    1.89% | ★★★ 強力買進
3131.TWO   |   brain    |   54.1% |    2.41% | ★★★ 強力買進
2230.TWO   |   brain    |   43.4% |    1.17% | ☠ 立即止損
3675.TWO   | momentum_burst |   53.5% |    3.35% | 觀望
8431.TWO   | momentum_burst |   48.6% |    1.67% | 觀望
3189.TW    | reversion  |   46.8% |    2.49% | 💰 乖離修正賣出
2206.TW    | long_trend |   48.5% |    3.47% | 🚪 趨勢結束
6486.TWO   | momentum_burst |   42.2% |    0.59% | 觀望
2881.TW    | long_trend |   48.2% |    0.37% | 觀望
6928.TW    | strong_support |   33.3% |    5.26% | 觀望
3443.TW    |   brain    |   49.1% |    1.48% | ☠ 立即止損
5328.TWO   |   brain    |   42.3% |    0.56% | 觀望
2329.TW    |   brain    |   51.4% |    1.02% | ☠ 立即止損
6163.TWO   | long_trend |   44.6% |    1.74% | 觀望
2316.TW    | long_trend |   54.2% |    4.64% | 觀望
6244.TWO   | long_trend |   48.4% |    4.57% | 觀望
2834.TW    | long_trend |   49.6% |    0.39% | 觀望
2022.TW    |   brain    |   45.8% |    2.08% | 觀望
8088.TWO   | strong_support |   56.1% |    1.77% | 觀望
1310.TW    | reversion  |   80.8% |    5.67% | 💰 乖離修正賣出
2072.TWO   | long_trend |   52.5% |    2.25% | 觀望
5386.TWO   | long_trend |   61.3% |   11.07% | 🚀 長線突破
00703.TW   | reversion  |  100.0% |    8.33% | 觀望
4551.TW    | reversion  |   74.3% |    4.38% | 觀望
5203.TW    | reversion  |   45.5% |    0.37% | 觀望
7795.TW    | momentum_burst |   78.3% |   11.82% | 觀望
4904.TW    | reversion  |    0.0% |    0.00% | 💰 乖離修正賣出
4946.TWO   |   brain    |   37.4% |    1.54% | 觀望
6695.TW    | reversion  |   58.5% |    1.69% | 觀望
1305.TW    | reversion  |   71.1% |    4.95% | 💰 乖離修正賣出
00900.TW   | long_trend |   54.3% |    0.98% | 觀望
3532.TW    |   brain    |   55.4% |    2.51% | ☠ 立即止損
1314.TW    | reversion  |   61.3% |    2.73% | 💰 乖離修正賣出
6885.TW    | momentum_burst |   50.0% |    7.13% | 觀望
00719B.TWO | reversion  |    0.0% |    0.00% | 💰 乖離修正賣出
1304.TW    | reversion  |   69.0% |    4.52% | 💰 乖離修正賣出
5274.TWO   | reversion  |   75.4% |    5.84% | 觀望
00923.TW   |   brain    |   58.5% |    0.37% | 觀望
6873.TW    |   brain    |   49.6% |    1.79% | ☠ 立即止損
4909.TWO   | long_trend |   54.5% |    1.71% | 觀望
6016.TWO   |   brain    |   48.9% |    0.90% | 觀望
9906.TW    |   brain    |   46.1% |    2.29% | 觀望
8069.TWO   |   brain    |   53.0% |    0.94% | ☠ 立即止損
2340.TW    | reversion  |   70.6% |    3.95% | 觀望
3138.TW    |   brain    |   46.3% |    3.62% | 觀望
5347.TWO   | momentum_burst |   54.5% |    3.11% | 觀望
3017.TW    | reversion  |   80.3% |    7.59% | 💰 乖離修正賣出
3037.TW    | long_trend |   48.0% |    2.66% | 觀望
1503.TW    |   brain    |   42.0% |    0.87% | ☠ 立即止損
3441.TWO   | reversion  |   55.9% |    3.04% | 觀望
8080.TWO   | momentum_burst |   38.0% |    2.69% | 觀望
5490.TWO   |   brain    |   44.3% |    0.22% | 觀望
2607.TW    | strong_support |   43.3% |    0.18% | 觀望
4768.TWO   | strong_support |   42.7% |   18.83% | 觀望
4755.TW    |   brain    |   50.6% |    1.04% | 觀望
5469.TW    |   brain    |   51.7% |    0.69% | ☠ 立即止損
3305.TW    |   brain    |   45.1% |    1.01% | ☠ 立即止損
6236.TWO   |   brain    |   41.7% |    1.86% | ☠ 立即止損
6214.TW    | reversion  |   66.7% |    2.45% | 觀望
6552.TW    | reversion  |   70.4% |    4.49% | 觀望
1216.TW    | strong_support |   51.6% |    0.31% | 觀望
2887.TW    | reversion  |  100.0% |    4.35% | 💰 乖離修正賣出
1471.TW    | long_trend |   56.8% |    8.32% | 觀望
2493.TW    |   brain    |   57.1% |    0.82% | ☠ 立即止損
1590.TW    | reversion  |   53.7% |    0.25% | 觀望
4127.TWO   | long_trend |   42.2% |    4.65% | 觀望
00919.TW   | long_trend |   66.7% |    1.98% | 觀望
6217.TWO   | reversion  |   63.3% |    3.66% | 💰 乖離修正賣出
1710.TW    | reversion  |   58.3% |    1.45% | 觀望
6213.TW    | reversion  |   69.6% |    3.23% | 💰 乖離修正賣出
9103.TW    | long_trend |   67.1% |   18.23% | 觀望
2337.TW    |   brain    |   53.7% |    2.63% | 觀望
6796.TW    |   brain    |   51.0% |    2.35% | ☠ 立即止損
6133.TW    |   brain    |   40.5% |    0.63% | ★★★ 強力買進
3466.TWO   |   brain    |   40.4% |    0.80% | 觀望
7799.TW    |   brain    |   58.5% |    6.32% | 觀望
3036.TW    | long_trend |   51.8% |    1.53% | 🚀 長線突破
3163.TWO   |   brain    |   48.0% |    1.35% | 觀望
2495.TW    | reversion  |   81.0% |    5.04% | 觀望
6225.TW    | strong_support |   48.0% |    4.91% | 觀望
1444.TW    | reversion  |  100.0% |    7.12% | 觀望
0056.TW    |   brain    |   56.5% |    0.21% | 觀望
8463.TW    | strong_support |   40.1% |    0.67% | 觀望
8077.TWO   | momentum_burst |   39.0% |    3.18% | 觀望
6684.TWO   | long_trend |   56.5% |    2.38% | 🚪 趨勢結束
3546.TWO   |   brain    |   50.0% |    0.66% | ☠ 立即止損
00987A.TW  | strong_support |    0.0% |    0.00% | 觀望
3552.TWO   | reversion  |   51.7% |    1.93% | 觀望
2377.TW    | reversion  |   60.0% |    3.34% | 💰 乖離修正賣出
4583.TW    | long_trend |   51.9% |    4.50% | 🚪 趨勢結束
00910.TW   |   brain    |   57.8% |    1.02% | 觀望
2397.TW    | reversion  |   70.8% |    4.05% | 觀望
8279.TWO   | strong_support |   55.3% |    3.10% | 觀望
2006.TW    |   brain    |   49.5% |    0.41% | ★★★ 強力買進
6715.TW    |   brain    |   47.8% |    0.70% | 觀望
3034.TW    | reversion  |   55.9% |    2.32% | 觀望
3588.TW    | reversion  |   63.7% |    2.96% | 觀望
2603.TW    |   brain    |   52.4% |    2.59% | ★★★ 強力買進
6643.TWO   |   brain    |   42.8% |    0.82% | 觀望
6854.TW    | long_trend |   77.4% |   13.43% | 🚪 趨勢結束
1459.TW    | strong_support |   43.4% |    0.44% | 🛡️ 支撐進場
4903.TWO   |   brain    |   46.8% |    2.16% | 觀望
8444.TWO   | long_trend |   60.2% |    3.18% | 🚪 趨勢結束
3016.TW    |   brain    |   47.1% |    1.10% | ☠ 立即止損
6533.TW    |   brain    |   45.6% |    1.38% | ☠ 立即止損
00985A.TW  |   brain    |   60.9% |    0.99% | 觀望
6620.TWO   |   brain    |   50.9% |    2.38% | 觀望
1326.TW    | reversion  |   70.6% |    2.45% | 💰 乖離修正賣出
6517.TWO   |   brain    |   47.3% |    1.74% | ☠ 立即止損
1583.TW    | reversion  |   81.2% |    9.60% | 觀望
4919.TW    |   brain    |   50.7% |    1.55% | 觀望
6142.TW    | reversion  |   63.2% |    4.74% | 觀望
2321.TW    |   brain    |   39.7% |    1.01% | ☠ 立即止損
3213.TWO   | reversion  |   80.0% |    8.87% | 觀望
2327.TW    | long_trend |   57.3% |    2.25% | 觀望
8289.TWO   |   brain    |   42.5% |    0.68% | 觀望
5439.TWO   |   brain    |   53.6% |    1.53% | ☠ 立即止損
2009.TW    |   brain    |   39.2% |    1.24% | ☠ 立即止損
6423.TWO   | reversion  |   68.0% |    4.37% | 觀望
2610.TW    |   brain    |   48.2% |    1.73% | ☠ 立即止損
2836.TW    | long_trend |   48.2% |    0.37% | 觀望
2379.TW    |   brain    |   56.1% |    0.97% | ☠ 立即止損
6546.TWO   | long_trend |   32.5% |   14.32% | 觀望
3533.TW    |   brain    |   50.1% |    0.63% | 觀望
2882.TW    | strong_support |   51.9% |    0.24% | 觀望
6456.TW    | long_trend |   47.5% |    2.02% | 觀望
00981A.TW  |   brain    |   67.6% |    1.52% | 觀望
3059.TW    | reversion  |   68.1% |    4.07% | 觀望
4541.TWO   | reversion  |   57.7% |    1.28% | 觀望
4938.TW    | reversion  |   83.3% |    4.50% | 觀望
6265.TWO   | long_trend |   38.7% |    4.75% | 觀望
3206.TWO   | reversion  |   67.9% |    2.67% | 💰 乖離修正賣出
5340.TWO   |   brain    |   47.6% |    1.71% | 觀望
4585.TW    | reversion  |   60.0% |    6.01% | 觀望
3338.TW    |   brain    |   45.2% |    1.45% | ★★★ 強力買進
5302.TWO   | strong_support |   39.7% |    1.27% | 觀望
3702.TW    | long_trend |   55.5% |    0.18% | 觀望
2548.TW    |   brain    |   48.8% |    0.33% | 觀望
00922.TW   | long_trend |   62.1% |    0.79% | 觀望
8390.TWO   | reversion  |   72.0% |    7.21% | 觀望
3672.TWO   | reversion  |   59.3% |    4.85% | 💰 乖離修正賣出
2615.TW    | long_trend |   60.9% |    7.82% | 🚪 趨勢結束
2606.TW    | long_trend |   50.9% |    1.75% | 觀望
1308.TW    | reversion  |   73.9% |    3.27% | 💰 乖離修正賣出
6768.TW    | long_trend |   58.8% |    1.18% | 🚪 趨勢結束
6720.TWO   |   brain    |   49.0% |    1.61% | 觀望
8383.TWO   | reversion  |   83.3% |    4.39% | 觀望
6550.TW    | long_trend |   66.2% |   18.43% | 🚪 趨勢結束
6753.TW    |   brain    |   49.7% |    3.41% | ☠ 立即止損
6228.TWO   |   brain    |   43.1% |    3.43% | ☠ 立即止損
2468.TW    | strong_support |   40.9% |    1.15% | 觀望
3041.TW    | reversion  |   59.6% |    1.73% | 觀望
2472.TW    |   brain    |   50.7% |    0.75% | 觀望
6275.TWO   | reversion  |   43.9% |    0.61% | 觀望
6469.TWO   |   brain    |   50.0% |    1.17% | ☠ 立即止損
6426.TW    |   brain    |   49.2% |    2.69% | 觀望
6112.TW    | reversion  |   64.0% |    1.81% | 觀望
5272.TWO   | reversion  |   54.2% |    1.36% | 💰 乖離修正賣出
6005.TW    | long_trend |   56.8% |    1.65% | 觀望
2258.TW    | reversion  |  100.0% |    2.57% | 觀望
00948B.TWO | reversion  |    0.0% |    0.00% | 💰 乖離修正賣出
00902.TW   | long_trend |   69.2% |    1.79% | 觀望
2449.TW    |   brain    |   53.3% |    1.26% | ☠ 立即止損
6613.TWO   |   brain    |   51.4% |    1.14% | ☠ 立即止損
5443.TWO   |   brain    |   47.9% |    0.69% | 觀望
3167.TW    |   brain    |   49.2% |    1.69% | 觀望
6579.TW    | momentum_burst |   42.5% |    1.32% | 觀望
3611.TWO   |   brain    |   45.1% |    0.27% | ☠ 立即止損
6219.TWO   | strong_support |   49.2% |    1.76% | 觀望
2892.TW    | reversion  |  100.0% |    6.04% | 觀望
2889.TW    | strong_support |   54.0% |    0.37% | 觀望
3713.TWO   | momentum_burst |   47.5% |    3.93% | 觀望
2014.TW    | long_trend |   50.0% |    5.24% | 觀望
2438.TW    | long_trend |   56.6% |   10.57% | 🚪 趨勢結束
2231.TW    | momentum_burst |   45.5% |    1.97% | 觀望
2354.TW    |   brain    |   47.2% |    0.57% | ☠ 立即止損
3680.TWO   | long_trend |   51.6% |    2.74% | 觀望
00761B.TWO | reversion  |  100.0% |   14.68% | 💰 乖離修正賣出
4171.TWO   | long_trend |   57.9% |    9.47% | 🚪 趨勢結束
6541.TW    |   brain    |   44.0% |    1.52% | ☠ 立即止損
4154.TWO   | long_trend |   48.1% |    4.21% | 🚪 趨勢結束
7738.TWO   |   brain    |   47.2% |    2.51% | ★★★ 強力買進
5371.TWO   |   brain    |   50.3% |    2.02% | ☠ 立即止損
3541.TWO   |   brain    |   49.4% |    0.68% | ☠ 立即止損
00939.TW   | momentum_burst |   62.5% |    0.24% | 觀望
3062.TW    | reversion  |   65.1% |    2.24% | 觀望
4571.TW    |   brain    |   48.5% |    3.44% | 觀望
9929.TW    | reversion  |   30.8% |   -0.72% | 觀望
6488.TWO   |   brain    |   52.9% |    1.46% | ☠ 立即止損
3416.TW    | strong_support |   53.8% |    0.74% | 觀望
4142.TW    | long_trend |   50.0% |    3.08% | 🚪 趨勢結束
5388.TW    | reversion  |   56.5% |    1.34% | 觀望
3419.TW    | reversion  |   62.9% |    2.65% | 💰 乖離修正賣出
3191.TWO   |   brain    |   45.5% |    2.33% | 觀望
5222.TW    | strong_support |   43.1% |    5.47% | 觀望
009814.TWO | strong_support |    0.0% |    0.00% | 觀望
1528.TW    |   brain    |   48.1% |    1.32% | ☠ 立即止損
6666.TW    | strong_support |   43.7% |    1.50% | 觀望
2344.TW    |   brain    |   52.4% |    2.22% | 觀望
7788.TW    |   brain    |   58.3% |    6.51% | ☠ 立即止損
3684.TWO   | reversion  |   65.4% |    1.22% | 💰 乖離修正賣出
00735.TW   | long_trend |   61.8% |    1.35% | 觀望
3227.TWO   | long_trend |   50.4% |    1.93% | 🚪 趨勢結束
2105.TW    | reversion  |   66.7% |    2.70% | 觀望
2460.TW    | reversion  |   68.3% |    3.17% | 💰 乖離修正賣出
7781.TWO   |   brain    |   28.6% |   40.81% | ☠ 立即止損
3035.TW    |   brain    |   52.0% |    1.66% | ☠ 立即止損
2357.TW    | reversion  |  100.0% |    7.96% | 觀望
00686R.TW  | reversion  |    0.0% |   -6.72% | 💰 乖離修正賣出
2801.TW    | reversion  |   50.0% |    1.06% | 觀望
00864B.TWO | reversion  |    0.0% |    0.00% | 💰 乖離修正賣出
5291.TWO   |   brain    |   48.4% |    1.15% | 觀望
8455.TWO   | reversion  |   44.7% |    1.86% | 💰 乖離修正賣出
3040.TW    | reversion  |   46.4% |    1.99% | 📉 超跌抄底
4130.TWO   | reversion  |   43.2% |    1.07% | 💰 乖離修正賣出
3205.TWO   | long_trend |   60.6% |    6.13% | 觀望
2439.TW    | long_trend |   54.8% |    2.57% | 🚪 趨勢結束
2371.TW    | long_trend |   56.1% |    5.84% | 🚪 趨勢結束
6894.TWO   | reversion  |   66.7% |    0.98% | 💰 乖離修正賣出
00937B.TWO | momentum_burst |    0.0% |    0.00% | 觀望
6125.TWO   | long_trend |   46.4% |    5.71% | 🚪 趨勢結束
2204.TW    |   brain    |   49.1% |    0.26% | 觀望
5871.TW    | reversion  |   69.0% |    3.91% | 觀望
2429.TW    |   brain    |   39.5% |    2.35% | ☠ 立即止損
1809.TW    | long_trend |   45.5% |    3.04% | 觀望
6884.TWO   | strong_support |   42.2% |    0.73% | 觀望
7737.TWO   | long_trend |    0.0% |    0.00% | 🚪 趨勢結束
2342.TW    |   brain    |   42.2% |    1.17% | ☠ 立即止損
8255.TWO   | long_trend |   51.8% |    2.25% | 🚪 趨勢結束
6612.TWO   |   brain    |   45.9% |    0.84% | 觀望
6560.TWO   | long_trend |   46.5% |    5.57% | 觀望
8299.TWO   |   brain    |   54.2% |    0.99% | ☠ 立即止損
1609.TW    | long_trend |   61.0% |    3.49% | 🚪 趨勢結束
009801.TW  |   brain    |   53.3% |    0.52% | ☠ 立即止損
5269.TW    |   brain    |   55.0% |    1.82% | ☠ 立即止損
2069.TW    | long_trend |   53.8% |    1.97% | 觀望
3555.TWO   | momentum_burst |   45.2% |    2.83% | 觀望
3551.TWO   |   brain    |   50.2% |    0.95% | ☠ 立即止損
5285.TW    | long_trend |   49.5% |    1.51% | 🚪 趨勢結束
6243.TW    |   brain    |   46.9% |    1.06% | ☠ 立即止損
3570.TWO   | strong_support |   47.5% |    0.87% | 觀望
1301.TW    | reversion  |   85.7% |    6.83% | 觀望
3207.TWO   |   brain    |   48.3% |    2.49% | 觀望
6202.TW    | reversion  |   61.0% |    0.55% | 💰 乖離修正賣出
912000.TW  |   brain    |   50.5% |    1.86% | ☠ 立即止損
1101.TW    | long_trend |   46.0% |   -0.00% | 觀望
3067.TWO   | long_trend |   53.2% |    6.61% | 🚪 趨勢結束
3504.TW    |   brain    |   43.4% |    1.19% | 觀望
2903.TW    |   brain    |   51.4% |    0.56% | ☠ 立即止損
5521.TW    | long_trend |   42.9% |    2.05% | 觀望
4939.TWO   | reversion  |   59.4% |    3.80% | 觀望
6669.TW    |   brain    |   52.2% |    1.24% | 觀望
2421.TW    |   brain    |   49.5% |    1.34% | ☠ 立即止損
1525.TW    | long_trend |   44.4% |    2.44% | 🚪 趨勢結束
6239.TW    | long_trend |   48.5% |    1.64% | 觀望
4577.TWO   |   brain    |   44.5% |    2.62% | 觀望
00995A.TW  | strong_support |    0.0% |    0.00% | 觀望
9907.TW    | momentum_burst |   51.1% |    1.09% | 觀望
6830.TW    |   brain    |   46.7% |    1.43% | ★★★ 強力買進
00891.TW   | strong_support |   67.5% |    2.01% | 觀望
3010.TW    |   brain    |   49.4% |    0.32% | ☠ 立即止損
2886.TW    | reversion  |   66.7% |   -0.49% | 觀望
2376.TW    | long_trend |   51.2% |    2.06% | 🚪 趨勢結束
6412.TW    |   brain    |   44.8% |    0.32% | ★★★ 強力買進
6616.TWO   |   brain    |   45.3% |   -0.04% | ☠ 立即止損
3019.TW    |   brain    |   48.4% |    1.59% | ☠ 立即止損
3217.TWO   |   brain    |   48.9% |    0.38% | ☠ 立即止損
3545.TW    | reversion  |   51.0% |    1.24% | 觀望
6134.TWO   | strong_support |   49.7% |    3.80% | 觀望
4534.TWO   |   brain    |   41.4% |    1.72% | 觀望
6655.TW    | long_trend |   63.1% |    2.69% | 觀望
2458.TW    |   brain    |   53.2% |    0.66% | ★★★ 強力買進
1597.TW    |   brain    |   47.6% |    1.46% | ☠ 立即止損
4131.TWO   | momentum_burst |   40.4% |    3.48% | 觀望
6462.TWO   |   brain    |   47.5% |    1.52% | ☠ 立即止損
3687.TWO   |   brain    |   38.8% |    1.02% | ☠ 立即止損
3147.TWO   |   brain    |   52.6% |    2.49% | 觀望
4523.TWO   |   brain    |   39.4% |    1.02% | 觀望
00665L.TW  | reversion  |   60.0% |    2.30% | 觀望
2328.TW    | long_trend |   55.7% |    6.13% | 🚪 趨勢結束
