=== 均線扣抵方向性回測競賽 (資料日期: 20260306) ===
代號         |    最佳參數    |      勝率 |       累計報酬 | 交易次數
3032.TW    |    MA20    |    32.5% |    220.60% |      120
1477.TW    |    MA60    |    35.7% |    155.22% |       70
6505.TW    |    MA60    |    21.8% |   -117.92% |      124
2405.TW    |    MA60    |    30.6% |    -29.01% |       98
00752.TW   |    MA20    |    32.1% |     25.92% |       81
3264.TWO   |    MA20    |    38.2% |    223.11% |      136
8358.TWO   |    MA60    |    25.8% |    635.80% |       66
6983.TWO   |    MA20    |    26.7% |    101.08% |       30
00878.TW   |    MA10    |    36.5% |     41.21% |       74
6568.TWO   |    MA20    |    40.4% |    301.92% |      104
6174.TWO   |    MA60    |    26.6% |     -1.65% |       94
3623.TWO   |    MA10    |    28.7% |    120.17% |      188
6477.TW    |    MA20    |    30.7% |     58.24% |      140
6761.TWO   |    MA60    |    23.8% |    142.03% |       42
5483.TWO   |    MA20    |    39.8% |    233.33% |      123
6742.TW    |    MA10    |    34.3% |     19.18% |       70
1340.TW    |    MA20    |    23.7% |   -109.47% |      135
6770.TW    |    MA5     |    31.0% |     83.73% |      129
00655L.TW  |    MA20    |    31.0% |     27.77% |      113
2630.TW    |    MA20    |    24.6% |    167.87% |      122
3624.TWO   |    MA10    |    28.7% |    209.70% |      216
3135.TW    |    MA20    |    26.5% |    186.90% |       49
3085.TWO   |    MA60    |    20.9% |    165.01% |       67
8099.TWO   |    MA10    |    24.6% |    176.58% |      224
3073.TWO   |    MA10    |    22.9% |     -9.78% |      240
2356.TW    |    MA20    |    27.3% |     -1.42% |      161
6838.TW    |    MA10    |    27.3% |     19.83% |       22
6139.TW    |    MA60    |    20.3% |    542.11% |       79
7709.TWO   |    MA10    |    17.3% |    -11.53% |       52
1519.TW    |    MA60    |    27.5% |    742.99% |       80
2239.TW    |    MA20    |    32.7% |      0.01% |      110
1235.TW    |    MA60    |    29.2% |    229.14% |       72
8087.TWO   |    MA60    |    21.6% |    118.09% |      111
00887.TWO  |    MA20    |    23.9% |      0.21% |       46
00983A.TW  |    MA20    |    66.7% |     11.94% |        3
1504.TW    |    MA60    |    21.6% |     99.50% |       97
4979.TWO   |    MA10    |    30.2% |    350.57% |      222
2436.TW    |    MA60    |    34.1% |    104.97% |       88
2027.TW    |    MA60    |    23.2% |    158.16% |       82
00650L.TW  |    MA60    |    26.7% |     35.84% |       60
4971.TWO   |    MA5     |    33.9% |     94.59% |      316
3711.TW    |    MA60    |    24.1% |     48.79% |       79
5498.TWO   |    MA10    |    26.7% |    347.13% |      210
8033.TW    |    MA60    |    25.8% |    300.29% |       97
4967.TW    |    MA10    |    31.1% |    342.90% |      228
1785.TWO   |    MA10    |    26.8% |    120.80% |      220
3152.TWO   |    MA20    |    28.7% |     94.68% |      129
009805.TW  |    MA20    |    40.0% |      8.62% |       10
2467.TW    |    MA60    |    31.7% |    378.95% |       60
6782.TW    |    MA20    |    26.3% |     81.20% |       57
3653.TW    |    MA10    |    35.2% |    296.87% |      216
8462.TW    |    MA60    |    27.1% |    146.30% |       59
00680L.TW  |    MA20    |    27.7% |    -37.23% |      101
8101.TW    |    MA60    |    11.7% |    -48.79% |       60
