正在分析 1052 檔標的，並同步產出 TXT, CSV 與 JSON 對照表...

===============================================================================================
 報告已產出至: report/20260306
 1. CSV: ma_full_report_20260306.csv
 2. TXT: ma_full_report_20260306.txt
 3. JSON: stock_best_ma.json (供未來程式調用)
===============================================================================================
     Stock  Best_Period  Win_Rate%  Total_Return%  Trades Status
   2615.TW           60      31.67        1404.26      60   ☁ 觀望
   2609.TW           60      22.86        1353.76      70   📈 持有
   2603.TW           60      24.10         979.79      83   📈 持有
   2543.TW           60      13.45         965.50     119   📈 持有
   9103.TW           20      20.00         963.62     160   📈 持有
  3205.TWO           60      15.94         934.19      69   📈 持有
   2327.TW           60      27.14         931.11      70   📈 持有
   4763.TW           60      22.73         910.83      66   ☁ 觀望
  5314.TWO           60      27.72         854.65     101   ☁ 觀望
  5475.TWO           20      28.10         843.75     121   📈 持有
   4961.TW           60      27.27         765.37      66   📈 持有
   1519.TW           60      27.50         742.99      80   📈 持有
   3661.TW           60      32.86         672.98      70   📈 持有
  6640.TWO           60      34.88         662.98      43   📈 持有
  4931.TWO           60      16.18         644.83      68   ☁ 觀望
   2486.TW           60      27.27         641.91      77   📈 持有
  8358.TWO           60      25.76         635.80      66   📈 持有
   3138.TW           20      31.25         622.84     160   📈 持有
  3324.TWO           60      27.40         605.54      73   📈 持有
  3141.TWO           60      27.42         561.41      62   📈 持有
   2009.TW           60      15.38         550.06      65   📈 持有
  3693.TWO           60      28.79         542.30      66   📈 持有
   6139.TW           60      20.25         542.11      79   📈 持有
   6531.TW           20      38.75         539.34      80   ☁ 觀望
   6443.TW           20      17.16         522.60     134   📈 持有
   6472.TW           60      32.10         521.78      81   ☁ 觀望
   3715.TW           60      27.27         468.17      22   📈 持有
   2344.TW           10      35.03         465.22     197   📈 持有
   5269.TW           20      28.87         464.98     142   ☁ 觀望
   8045.TW           60      19.05         450.37      63   📈 持有
  5321.TWO           60      24.66         446.41      73   ☁ 觀望
  5474.TWO           20      28.79         439.02     132   ☁ 觀望
 00632R.TW           20      17.95         435.80     117   ☁ 觀望
  6223.TWO           10      36.79         435.26     193   ☁ 觀望
  6485.TWO           20      34.29         431.65     140   ☁ 觀望
   3017.TW           60      29.67         430.89      91   📈 持有
   8210.TW           10      35.38         424.90     195   ☁ 觀望
  3230.TWO           60      17.33         423.47      75   📈 持有
  6548.TWO           60      27.78         416.93      72   📈 持有
   4968.TW           60      30.19         416.89      53   ☁ 觀望
  5299.TWO           60      24.39         416.71      82   📈 持有
   2408.TW           20      31.21         415.60     141   ☁ 觀望
   9958.TW           10      27.27         414.74     220   ☁ 觀望
   8110.TW           20      35.92         411.80     142   ☁ 觀望
   2492.TW           10      31.98         411.61     197   📈 持有
  6510.TWO           10      29.73         410.68     185   ☁ 觀望
  4903.TWO           10      27.60         402.31     192   📈 持有
  5443.TWO           60      28.89         396.92      90   📈 持有
  6187.TWO           60      32.20         394.65      59   📈 持有
  6739.TWO           60      38.46         390.62      26   📈 持有
   3406.TW           10      35.86         387.04     198   ☁ 觀望
  6546.TWO           60      35.71         386.85      56   📈 持有
   6919.TW           10      48.78         386.10      41   ☁ 觀望
   6235.TW           60      29.73         382.05      74   ☁ 觀望
  3086.TWO           60      20.99         380.88      81   ☁ 觀望
   2467.TW           60      31.67         378.95      60   📈 持有
   2383.TW           20      33.85         378.09     130   📈 持有
   8996.TW           10      31.53         376.82     203   ☁ 觀望
  3465.TWO           20      20.98         376.45     143   ☁ 觀望
  3131.TWO           60      28.36         376.30      67   📈 持有
   8046.TW           60      31.25         373.33      64   📈 持有
   6446.TW           10      26.77         372.64     198   ☁ 觀望
   2014.TW           60      17.65         372.32      68   📈 持有
  6488.TWO           60      38.67         364.18      75   📈 持有
   2345.TW           60      30.88         351.50      68   📈 持有
   3167.TW           20      35.34         350.72     116   📈 持有
  4979.TWO           10      30.18         350.57     222   📈 持有
  5498.TWO           10      26.67         347.13     210   📈 持有
   9105.TW           10      29.52         345.59     210   ☁ 觀望
  5289.TWO           20      32.58         344.68     132   ☁ 觀望
   3532.TW           10      34.31         344.10     204   ☁ 觀望
   6426.TW            5      29.93         343.06     304   ☁ 觀望
   4967.TW           10      31.14         342.90     228   ☁ 觀望
  5340.TWO           20      25.95         342.38     131   📈 持有
   6669.TW           20      37.37         341.99      99   📈 持有
   4540.TW           60      35.71         340.04      56   📈 持有
   2388.TW           10      22.51         339.76     231   ☁ 觀望
   2404.TW           60      29.85         339.61      67   📈 持有
   6691.TW           60      27.78         339.25      36   📈 持有
   3563.TW           10      35.26         339.04     190   📈 持有
  5508.TWO           60      20.90         335.56      67   ☁ 觀望
  8111.TWO           10      28.72         334.93     188   📈 持有
   9906.TW           10      27.27         332.72     220   ☁ 觀望
   2368.TW           10      33.66         330.97     205   ☁ 觀望
  6620.TWO           20      32.93         326.62      82   ☁ 觀望
   3231.TW           60      24.69         323.27      81   ☁ 觀望
   5234.TW           20      32.33         319.18     133   📈 持有
  3218.TWO           60      22.35         318.78      85   ☁ 觀望
  6469.TWO           60      30.99         318.31      71   ☁ 觀望
  3169.TWO           10      28.77         317.60     212   📈 持有
   6550.TW           10      26.80         316.72     153   ☁ 觀望
   3025.TW           10      32.00         313.59     200   ☁ 觀望
  4946.TWO           60      15.00         312.59      80   📈 持有
  3363.TWO           60      28.00         310.49      75   📈 持有
   2376.TW           60      29.76         310.34      84   ☁ 觀望
   2481.TW           10      33.83         310.03     201   📈 持有
  6231.TWO           60      32.05         309.88      78   ☁ 觀望
   4943.TW           60      28.07         309.87      57   ☁ 觀望
  8043.TWO           60      26.14         306.33      88   ☁ 觀望
  5536.TWO           60      25.42         305.72      59   ☁ 觀望
   8021.TW           20      28.68         303.95     136   ☁ 觀望
  6568.TWO           20      40.38         301.92     104   📈 持有
   8033.TW           60      25.77         300.29      97   📈 持有
   3653.TW           10      35.19         296.87     216   ☁ 觀望
  4744.TWO           20      23.57         296.37     140   📈 持有
   6191.TW           60      29.73         294.03      74   ☁ 觀望
  5439.TWO           20      34.68         293.41     124   ☁ 觀望
  6560.TWO           20      25.74         290.53     101   📈 持有
  3680.TWO           60      25.58         290.25      86   📈 持有
  6173.TWO           20      29.93         289.62     137   ☁ 觀望
   6196.TW           10      37.37         283.63     190   📈 持有
  4721.TWO           10      28.50         283.26     193   ☁ 觀望
  3081.TWO           10      30.15         281.36     199   📈 持有
  3552.TWO           20      33.06         280.79     121   ☁ 觀望
  6720.TWO           20      36.92         280.47      65   📈 持有
  7781.TWO            5      17.14         280.22      35   ☁ 觀望
  4529.TWO           10      23.61         276.99     216   ☁ 觀望
  5386.TWO           10      22.07         276.74     222   📈 持有
  3675.TWO           60      24.39         276.39      82   📈 持有
  3078.TWO           60      29.23         276.14      65   ☁ 觀望
  4768.TWO           20      32.88         276.05      73   📈 持有
  5309.TWO           10      30.19         275.87     212   ☁ 觀望
  4991.TWO           20      35.38         275.58     130   📈 持有
   2457.TW           60      19.72         274.89      71   ☁ 觀望
  4909.TWO           60      21.67         274.01      60   📈 持有
   3535.TW           20      24.68         271.11     154   📈 持有
  6727.TWO           10      23.08         270.68     104   📈 持有
  3217.TWO           60      38.03         268.91      71   ☁ 觀望
  4171.TWO           10      21.88         264.64     224   ☁ 觀望
  6237.TWO           10      22.82         264.12     206   ☁ 觀望
   3706.TW           10      34.78         262.66     184   📈 持有
   1514.TW            5      34.30         261.46     277   ☁ 觀望
   3443.TW           10      31.94         260.77     216   ☁ 觀望
  3491.TWO           20      31.91         260.73     141   📈 持有
  8086.TWO           60      31.08         259.44      74   📈 持有
  3707.TWO           10      34.07         258.87     182   📈 持有
  3260.TWO           10      30.00         258.87     190   ☁ 觀望
  6104.TWO           60      25.32         258.77      79   📈 持有
   4722.TW           60      33.33         258.19      72   📈 持有
   3018.TW           60      28.12         255.13      64   📈 持有
   3645.TW           10      37.68         255.02     207   📈 持有
  3147.TWO           60      22.54         253.28      71   📈 持有
   5222.TW           60      27.38         250.68      84   ☁ 觀望
  3178.TWO           20      27.66         250.24     141   ☁ 觀望
   2329.TW           20      33.33         250.23     144   ☁ 觀望
  3374.TWO           20      35.42         249.40     144   ☁ 觀望
   5469.TW           20      37.50         247.84     112   ☁ 觀望
   4755.TW           60      27.54         245.75      69   📈 持有
  8299.TWO           10      34.72         245.39     216   ☁ 觀望
   2359.TW           60      28.26         245.24      92   ☁ 觀望
  3508.TWO            5      29.23         244.88     284   ☁ 觀望
  5864.TWO           60      19.10         244.28      89   📈 持有
  3357.TWO           60      25.58         244.16      86   📈 持有
  6588.TWO           60      20.34         243.60      59   📈 持有
  6418.TWO           20      22.38         242.96     143   ☁ 觀望
   3665.TW           60      38.37         242.59      86   📈 持有
   4912.TW           60      30.12         242.37      83   📈 持有
  3713.TWO           20      15.49         241.79      71   ☁ 觀望
   2316.TW           20      28.97         241.76     145   ☁ 觀望
   1560.TW           60      41.67         240.52      60   📈 持有
   3413.TW           20      34.81         239.94     135   📈 持有
   3014.TW           60      31.17         239.92      77   ☁ 觀望
   1471.TW           10      27.45         239.74     204   ☁ 觀望
  5381.TWO           60      19.35         237.75      93   📈 持有
  6683.TWO           10      32.14         237.68     112   📈 持有
  8027.TWO           60      25.97         235.79      77   ☁ 觀望
   2460.TW           60      32.08         235.36      53   📈 持有
   3686.TW           20      21.33         234.68     150   ☁ 觀望
  6274.TWO           20      38.71         234.53     155   ☁ 觀望
  5483.TWO           20      39.84         233.33     123   ☁ 觀望
  3529.TWO           10      32.58         232.23     221   📈 持有
   3583.TW           60      30.77         232.22      65   📈 持有
   3708.TW           60      30.00         231.67      80   📈 持有
  8183.TWO           60      30.77         231.17      91   📈 持有
   2108.TW           60      27.27         231.00      55   📈 持有
   1609.TW           60      26.60         230.62      94   ☁ 觀望
  3483.TWO           10      31.73         230.26     208   📈 持有
   2421.TW           20      25.48         229.83     157   ☁ 觀望
   1235.TW           60      29.17         229.14      72   ☁ 觀望
  6435.TWO           20      36.03         228.13     136   ☁ 觀望
   8112.TW           60      31.25         227.16      80   ☁ 觀望
  5371.TWO           20      27.61         226.21     134   ☁ 觀望
   3035.TW           60      41.27         226.20      63   ☁ 觀望
  6125.TWO           20      28.67         224.44     150   ☁ 觀望
  3526.TWO           20      33.82         223.89     136   📈 持有
   1773.TW           60      26.47         223.68      68   📈 持有
   2413.TW           10      26.98         223.46     189   📈 持有
  3264.TWO           20      38.24         223.11     136   ☁ 觀望
  8431.TWO           10      28.44         221.97     218   📈 持有
   6533.TW           20      29.66         221.83     118   ☁ 觀望
  2072.TWO           60      35.48         221.27      31   📈 持有
   6213.TW           60      26.37         221.20      91   📈 持有
   3032.TW           20      32.50         220.60     120   ☁ 觀望
   2449.TW           20      35.00         219.97     140   ☁ 觀望
  6785.TWO           60      30.77         219.64      26   ☁ 觀望
   2337.TW           20      25.52         219.55     145   📈 持有
   3530.TW           60      30.43         217.46      69   ☁ 觀望
   5484.TW           10      24.41         217.05     213   ☁ 觀望
   3712.TW           10      28.69         216.60     122   ☁ 觀望
  5274.TWO           60      44.83         215.90      87   📈 持有
  6667.TWO           10      31.25         215.82     144   📈 持有
   3019.TW           20      29.20         215.33     137   ☁ 觀望
  4749.TWO           10      37.88         214.47      66   📈 持有
   2478.TW           10      26.94         214.46     219   📈 持有
   3450.TW           60      22.67         214.24      75   📈 持有
  6290.TWO           60      31.03         213.90      87   📈 持有
   2022.TW           10      27.27         212.98     187   📈 持有
  6462.TWO           20      33.82         211.48     136   ☁ 觀望
   2313.TW           10      33.50         211.24     203   📈 持有
   3149.TW           20      30.58         210.44     121   ☁ 觀望
  6122.TWO           60      26.19         210.16      84   📈 持有
  3624.TWO           10      28.70         209.70     216   📈 持有
  6265.TWO           20      28.91         208.10     128   ☁ 觀望
  6182.TWO           60      32.88         207.92      73   📈 持有
   3037.TW           10      32.23         205.64     211   📈 持有
  6188.TWO           10      32.47         204.88     194   ☁ 觀望
   2382.TW           60      30.43         204.66      69   📈 持有
   2236.TW           10      31.58         204.55     171   ☁ 觀望
   1795.TW           10      30.73         203.23     205   ☁ 觀望
   2308.TW           60      26.51         202.56      83   📈 持有
   3481.TW           10      36.87         202.52     198   📈 持有
  4908.TWO           10      32.52         202.50     206   📈 持有
  3162.TWO           10      27.70         202.37     213   ☁ 觀望
  5403.TWO           20      33.98         201.81     103   ☁ 觀望
   2338.TW           60      27.50         200.90      80   📈 持有
  6664.TWO           60      38.46         200.46      39   📈 持有
   6209.TW            5      26.81         200.40     317   ☁ 觀望
  3379.TWO           10      24.59         199.84     244   ☁ 觀望
   8478.TW           60      22.58         199.58      62   ☁ 觀望
   1436.TW           60      19.28         199.56      83   ☁ 觀望
   2211.TW           60      28.00         198.99      25   ☁ 觀望
  3211.TWO           20      30.77         198.94     143   ☁ 觀望
   3338.TW           60      27.63         198.87      76   📈 持有
   2371.TW           60      26.76         198.50      71   📈 持有
   6205.TW           10      23.67         198.26     207   📈 持有
  8096.TWO           60      27.27         197.87      77   📈 持有
  2230.TWO           60      25.77         197.15      97   ☁ 觀望
  6788.TWO           60      37.50         196.89      32   📈 持有
   3006.TW           10      30.54         196.87     203   ☁ 觀望
  1815.TWO           10      30.62         196.71     209   📈 持有
  6584.TWO           10      25.17         196.34     147   📈 持有
  1569.TWO           10      32.65         195.02     196   ☁ 觀望
  3551.TWO           10      31.88         194.67     207   ☁ 觀望
  8069.TWO           20      32.89         193.60     149   ☁ 觀望
   2303.TW           60      26.19         192.62      84   📈 持有
   1612.TW           60      30.00         192.60      70   ☁ 觀望
   6753.TW           10      31.76         192.25      85   📈 持有
  6284.TWO           10      33.85         191.64     195   ☁ 觀望
   6695.TW           60      14.29         190.68      49   ☁ 觀望
   6805.TW           20      41.67         190.66      24   📈 持有
  3265.TWO           20      34.65         189.99     127   ☁ 觀望
   6515.TW           10      32.11         189.38     109   📈 持有
   6451.TW           10      34.52         188.93     197   📈 持有
  6134.TWO           20      26.83         188.20     123   📈 持有
  8436.TWO           60      24.29         188.00      70   📈 持有
   3135.TW           20      26.53         186.90      49   ☁ 觀望
   2493.TW           20      31.71         186.53     123   ☁ 觀望
   3694.TW           20      32.33         185.10     133   ☁ 觀望
   2363.TW           10      28.43         184.73     197   ☁ 觀望
  3317.TWO           20      37.70         182.52     122   ☁ 觀望
  6233.TWO           60      17.33         182.38      75   📈 持有
   3036.TW           60      27.03         181.00      74   📈 持有
  6127.TWO           20      32.12         180.76     137   ☁ 觀望
   3013.TW           60      25.27         179.95      91   ☁ 觀望
   5258.TW           60      25.77         179.82      97   ☁ 觀望
   3543.TW           60      22.78         179.62      79   📈 持有
   8081.TW           60      30.00         179.59      80   📈 持有
   2881.TW           60      31.17         178.63      77   ☁ 觀望
   1587.TW           60      28.38         178.05      74   ☁ 觀望
   3016.TW           20      27.97         177.06     143   ☁ 觀望
  8099.TWO           10      24.55         176.58     224   ☁ 觀望
   3090.TW           60      35.80         174.41      81   📈 持有
   5225.TW           20      28.03         173.94     132   ☁ 觀望
  4804.TWO           10      23.26         173.58     172   ☁ 觀望
   1503.TW           60      16.16         173.44      99   📈 持有
  5245.TWO           20      28.47         173.08     144   📈 持有
   3701.TW           20      17.48         172.50     206   📈 持有
   2330.TW           60      27.14         172.04      70   📈 持有
   6706.TW           10      28.00         170.15     125   📈 持有
   2406.TW           20      24.43         168.53     131   📈 持有
  00757.TW           20      43.55         168.28      62   ☁ 觀望
   2630.TW           20      24.59         167.87     122   ☁ 觀望
 00715L.TW            5      30.96         167.85     197   📈 持有
  4534.TWO           10      20.57         167.70     209   📈 持有
   3504.TW           20      28.68         167.43     129   📈 持有
  6138.TWO           60      32.95         167.33      88   ☁ 觀望
  3541.TWO           10      33.90         167.00     177   ☁ 觀望
  3105.TWO           10      34.25         166.61     219   📈 持有
   4739.TW           20      32.85         165.89     137   ☁ 觀望
  8444.TWO           20      25.56         165.24     133   ☁ 觀望
   4571.TW           10      32.22         165.18      90   ☁ 觀望
  3085.TWO           60      20.90         165.01      67   ☁ 觀望
   4562.TW           60      12.64         164.32      87   ☁ 觀望
   3044.TW           60      24.05         164.17      79   📈 持有
   2377.TW           20      37.59         163.64     141   ☁ 觀望
   2454.TW           20      31.88         163.56     138   📈 持有
   2374.TW           20      29.79         162.33     141   ☁ 觀望
  3581.TWO           10      27.31         162.31     227   ☁ 觀望
   7799.TW           10      20.00         161.95      15   📈 持有
   2444.TW           60      22.35         161.16      85   📈 持有
   8271.TW           60      33.87         161.05      62   📈 持有
   2367.TW            5      31.15         160.94     305   📈 持有
   1513.TW           20      23.81         160.57     168   ☁ 觀望
  8048.TWO           20      29.85         160.32     134   📈 持有
   2455.TW           20      35.43         159.43     127   📈 持有
   1802.TW           60      23.94         159.20      71   📈 持有
  3207.TWO           60      16.67         159.12     108   📈 持有
   2352.TW           60      22.78         158.85      79   ☁ 觀望
   2027.TW           60      23.17         158.16      82   ☁ 觀望
   5521.TW           20      25.98         156.01     127   📈 持有
   3029.TW           60      28.57         155.85      84   📈 持有
   3545.TW           60      20.83         155.67      72   ☁ 觀望
   1477.TW           60      35.71         155.22      70   ☁ 觀望
   8261.TW           10      25.76         154.70     198   📈 持有
   2428.TW           20      30.43         154.04     138   ☁ 觀望
  6629.TWO           60      15.91         153.98      44   ☁ 觀望
   2438.TW           10      18.53         153.89     232   ☁ 觀望
  5291.TWO           10      31.07         153.71     206   📈 持有
   2059.TW           60      24.42         153.43      86   ☁ 觀望
   6698.TW           10      34.51         153.38     113   ☁ 觀望
   2425.TW           20      26.55         152.97     113   ☁ 觀望
 912000.TW           20      23.08         152.77     117   ☁ 觀望
  8277.TWO           20      27.78         152.64     144   ☁ 觀望
  6016.TWO           10      26.98         152.46     189   📈 持有
  6925.TWO           10      28.81         152.37      59   ☁ 觀望
  3455.TWO           60      36.36         152.30      66   📈 持有
   2535.TW           10      37.99         151.15     179   📈 持有
   4927.TW           10      36.41         151.08     195   📈 持有
   1528.TW           10      26.47         151.06     204   ☁ 觀望
   3092.TW           10      28.06         151.04     196   📈 持有
   6239.TW           10      32.85         151.03     207   ☁ 觀望
   8131.TW           20      30.07         148.93     143   ☁ 觀望
   3257.TW           20      30.60         148.45     134   ☁ 觀望
   6796.TW           20      33.33         148.44      54   ☁ 觀望
   2480.TW           60      35.62         148.40      73   ☁ 觀望
   6873.TW           60      23.53         147.42      17   📈 持有
   2349.TW           10      30.46         146.76     197   ☁ 觀望
   2317.TW           60      31.65         146.34      79   ☁ 觀望
   8462.TW           60      27.12         146.30      59   ☁ 觀望
  4513.TWO           60      27.40         146.28      73   ☁ 觀望
   1736.TW           60      24.10         146.20      83   ☁ 觀望
   3030.TW           20      27.27         145.53     143   📈 持有
  3071.TWO           20      28.80         145.35     125   ☁ 觀望
  6186.TWO           20      30.08         145.22     123   ☁ 觀望
   2482.TW           20      23.08         144.79     143   ☁ 觀望
  3625.TWO           60      26.76         144.59      71   ☁ 觀望
   3533.TW           60      28.17         144.42      71   📈 持有
  6203.TWO           20      28.36         144.19     134   ☁ 觀望
  6761.TWO           60      23.81         142.03      42   📈 持有
  3213.TWO           60      27.78         141.57      72   ☁ 觀望
  3163.TWO           20      33.57         140.68     143   📈 持有
   6230.TW           60      26.32         140.24      95   📈 持有
  3430.TWO           20      28.80         139.81     125   ☁ 觀望
   3168.TW           60      26.47         139.67     102   ☁ 觀望
  3546.TWO           10      31.88         139.34     207   ☁ 觀望
   6005.TW           60      17.81         137.42      73   📈 持有
  3587.TWO           20      27.13         137.09     129   📈 持有
   6491.TW           60      25.35         136.62      71   ☁ 觀望
   2049.TW           10      35.82         135.88     201   📈 持有
   1522.TW           60      31.17         135.56      77   ☁ 觀望
   3305.TW           60      30.49         135.47      82   📈 持有
  6275.TWO           20      29.73         135.34     148   ☁ 觀望
   0052.TW           20      34.56         135.33     136   📈 持有
  7751.TWO           10      29.63         133.78      27   📈 持有
   2342.TW           10      27.05         133.72     207   ☁ 觀望
   6689.TW           60      28.12         133.61      32   📈 持有
  3234.TWO           20      29.08         133.50     141   📈 持有
  3236.TWO           60      27.27         133.19      66   📈 持有
   5285.TW           20      27.27         133.09     132   ☁ 觀望
   2360.TW           20      30.92         132.78     152   📈 持有
   2233.TW           60      30.77         131.96      78   📈 持有
   2472.TW           10      32.09         131.61     215   📈 持有
   3416.TW           60      32.00         131.05      50   ☁ 觀望
  6980.TWO           20      23.08         130.41      26   ☁ 觀望
   1597.TW           20      27.40         130.25     146   ☁ 觀望
   2442.TW           60      26.39         129.59      72   ☁ 觀望
   3588.TW           10      36.32         129.36     212   ☁ 觀望
  5328.TWO           10      29.29         127.84     198   📈 持有
   4915.TW           60      30.65         127.14      62   ☁ 觀望
   8028.TW           10      30.96         126.82     197   📈 持有
   2597.TW            5      27.30         126.50     315   ☁ 觀望
   2439.TW           60      38.81         126.33      67   ☁ 觀望
  6679.TWO           60      35.56         126.31      45   📈 持有
   3038.TW           60      30.12         126.31      83   📈 持有
   2328.TW           20      26.25         125.98     160   ☁ 觀望
  2755.TWO           20      30.67         125.89      75   📈 持有
  8088.TWO           60      31.17         125.74      77   📈 持有
  6613.TWO           20      29.91         125.58     117   ☁ 觀望
   3028.TW           60      25.00         125.55      52   📈 持有
  6903.TWO           10      31.48         125.30      54   📈 持有
   1305.TW           10      35.33         125.02     184   📈 持有
   2453.TW           20      29.45         124.90     146   ☁ 觀望
   2387.TW           60      20.78         124.86      77   📈 持有
   8016.TW           60      25.26         124.84      95   📈 持有
  4973.TWO           20      28.89         124.39     135   ☁ 觀望
   6715.TW           10      33.33         123.82     117   📈 持有
   3703.TW           60      31.88         123.42      69   ☁ 觀望
   4583.TW           60      21.43         122.51      28   ☁ 觀望
   5292.TW           60      34.29         121.70      35   📈 持有
  8234.TWO           20      31.58         121.70     133   ☁ 觀望
   1605.TW           20      37.59         121.33     141   ☁ 觀望
  3083.TWO           10      27.86         121.25     201   ☁ 觀望
  1785.TWO           10      26.82         120.80     220   ☁ 觀望
  3623.TWO           10      28.72         120.17     188   ☁ 觀望
   2429.TW           60      13.73         120.04     102   ☁ 觀望
  6423.TWO           20      28.69         119.78     122   ☁ 觀望
  00909.TW           10      38.89         119.33      54   📈 持有
   6541.TW           10      23.53         119.06     187   ☁ 觀望
   6176.TW           60      25.40         118.48      63   ☁ 觀望
  8087.TWO           60      21.62         118.09     111   ☁ 觀望
   4952.TW           10      35.23         118.02     193   📈 持有
  6291.TWO           60      24.53         117.93     106   📈 持有
