=== 短線動能 + 扣抵分析 (資料日期: 20260306) ===
代號         |     最佳策略     |      勝率 |     期望回報 | 今日狀態
5880.TW    | bias_reversion |   67.5% |    1.00% | 觀望
2349.TW    | short_swing  |   35.3% |    0.93% | ⏱️ 短線撤退
4161.TWO   | bias_reversion |   39.7% |   -0.39% | 觀望
7734.TWO   |   rebound    |   40.5% |    1.27% | 🛡️ 十日撐買
2401.TW    |   rebound    |   51.6% |    0.18% | 觀望
6906.TW    | bias_reversion |   46.5% |    1.13% | 觀望
3563.TW    | short_swing  |   56.3% |    1.34% | ⚡ 短線攻擊
6279.TWO   |   rebound    |   49.1% |   -0.01% | 觀望
3324.TWO   | bias_reversion |   50.9% |    0.52% | 觀望
3577.TWO   |   rebound    |   47.7% |    0.65% | 觀望
3357.TWO   |   rebound    |   46.4% |    0.58% | 觀望
2254.TW    | short_swing  |   32.3% |   -0.88% | ⚡ 短線攻擊
2369.TW    | bias_reversion |   50.6% |    0.56% | 觀望
7751.TWO   | short_swing  |   62.0% |    3.95% | ⏱️ 短線撤退
8489.TWO   | short_swing  |   45.9% |    0.57% | ⏱️ 短線撤退
1773.TW    |   rebound    |   48.1% |    0.48% | 觀望
6844.TWO   | short_swing  |   47.8% |    1.47% | 觀望
6931.TW    | short_swing  |   46.4% |    1.62% | ⏱️ 短線撤退
4956.TW    | short_swing  |   36.9% |    0.20% | ⏱️ 短線撤退
5876.TW    | bias_reversion |   65.8% |    0.98% | 觀望
4977.TW    | bias_reversion |   49.5% |    0.59% | 觀望
00632R.TW  | short_swing  |   36.6% |    5.63% | 觀望
8935.TWO   |   rebound    |   40.9% |    0.32% | 觀望
5227.TWO   | bias_reversion |   37.8% |   -0.28% | 📉 乖離反彈
3521.TWO   |   rebound    |   36.1% |    0.67% | 觀望
3564.TWO   |   rebound    |   48.6% |    0.85% | 觀望
6419.TWO   |   rebound    |   38.5% |    0.22% | 觀望
2845.TW    | bias_reversion |   62.7% |    0.29% | 觀望
