=== 短線動能 + 扣抵分析 (資料日期: 20260306) ===
代號         |     最佳策略     |      勝率 |     期望回報 | 今日狀態
2301.TW    | bias_reversion |   53.9% |    0.25% | 觀望
00679B.TWO | short_swing  |   40.6% |   -0.37% | ⚡ 短線攻擊
2382.TW    | short_swing  |   48.9% |    0.18% | ⏱️ 短線撤退
1711.TW    | bias_reversion |   44.3% |   -0.06% | 觀望
1102.TW    | bias_reversion |   57.4% |    0.45% | 觀望
6762.TWO   | short_swing  |   42.4% |   -0.13% | 觀望
7782.TWO   | short_swing  |   37.5% |   -0.33% | ⏱️ 短線撤退
TXF.TW     | bias_reversion |   58.7% |    0.20% | 觀望
3088.TWO   | bias_reversion |   47.4% |   -0.03% | 觀望
7744.TWO   | short_swing  |   54.0% |    1.91% | ⏱️ 短線撤退
6191.TW    | bias_reversion |   53.6% |    0.68% | 觀望
8422.TW    | short_swing  |   38.3% |    0.43% | ⏱️ 短線撤退
3701.TW    |   rebound    |   33.0% |    0.32% | 觀望
5508.TWO   |   rebound    |   51.4% |    0.61% | 觀望
4562.TW    |   rebound    |   32.2% |   -0.12% | 觀望
5258.TW    |   rebound    |   49.8% |    1.10% | 觀望
6904.TWO   | short_swing  |   43.1% |   -0.09% | ⏱️ 短線撤退
8044.TWO   | short_swing  |   45.2% |    0.30% | ⏱️ 短線撤退
3530.TW    |   rebound    |   45.3% |    0.88% | 觀望
1599.TWO   | bias_reversion |   51.8% |    0.65% | 觀望
3092.TW    |   rebound    |   48.0% |    0.52% | 觀望
1726.TW    | bias_reversion |   46.9% |   -0.16% | 觀望
7728.TWO   | bias_reversion |   46.2% |    0.86% | 觀望
2618.TW    | short_swing  |   47.8% |    0.59% | ⏱️ 短線撤退
8045.TW    | short_swing  |   48.7% |    1.67% | ⏱️ 短線撤退
2489.TW    | short_swing  |   43.4% |    0.38% | 觀望
6509.TWO   |   rebound    |   42.5% |   -0.17% | 觀望
2838.TW    | short_swing  |   46.5% |    0.14% | ⏱️ 短線撤退
3501.TW    | short_swing  |   43.3% |   -0.22% | ⏱️ 短線撤退
8039.TW    | bias_reversion |   50.6% |    0.64% | 觀望
3105.TWO   |   rebound    |   55.2% |    0.64% | 🛡️ 十日撐買
8478.TW    | short_swing  |   48.0% |    1.28% | ⏱️ 短線撤退
3550.TW    |   rebound    |   44.7% |    0.12% | 觀望
3432.TW    |   rebound    |   49.9% |    0.71% | 觀望
1514.TW    | short_swing  |   45.0% |    1.02% | ⏱️ 短線撤退
7750.TW    | short_swing  |   71.4% |    3.47% | ⏱️ 短線撤退
6209.TW    | short_swing  |   47.3% |    1.12% | ⏱️ 短線撤退
4912.TW    |   rebound    |   50.2% |    1.27% | 觀望
3015.TW    |   rebound    |   49.3% |    0.36% | 觀望
3703.TW    |   rebound    |   47.8% |    0.03% | 觀望
1735.TW    |   rebound    |   37.1% |   -0.00% | 觀望
1522.TW    | bias_reversion |   47.9% |    0.59% | 觀望
00712.TW   |   rebound    |   48.7% |   -0.04% | 觀望
00924.TW   |   rebound    |   60.8% |    0.18% | 觀望
6196.TW    |   rebound    |   57.0% |    0.84% | 觀望
5299.TWO   | bias_reversion |   55.2% |    0.98% | 觀望
3002.TW    | short_swing  |   40.0% |   -0.12% | ⏱️ 短線撤退
4989.TW    |   rebound    |   44.4% |    1.29% | 觀望
6405.TW    | short_swing  |   42.9% |    0.34% | ⏱️ 短線撤退
2423.TW    | bias_reversion |   59.6% |    0.42% | 觀望
1784.TWO   |   rebound    |   48.8% |    0.43% | 觀望
6130.TWO   | short_swing  |   45.2% |    1.76% | ⏱️ 短線撤退
4749.TWO   | short_swing  |   55.5% |    3.11% | ⏱️ 短線撤退
00933B.TWO | bias_reversion |   50.0% |   -0.29% | 觀望
5425.TWO   | bias_reversion |   54.5% |    0.39% | 觀望
1307.TW    | bias_reversion |   48.6% |    0.23% | 觀望
2235.TWO   | bias_reversion |   42.2% |   -0.42% | 觀望
3629.TWO   | short_swing  |   50.2% |    3.39% | ⏱️ 短線撤退
6683.TWO   | short_swing  |   49.1% |    1.28% | ⏱️ 短線撤退
1513.TW    | short_swing  |   46.9% |    0.71% | ⏱️ 短線撤退
00989A.TW  | short_swing  |   33.3% |   -1.22% | ⏱️ 短線撤退
3038.TW    |   rebound    |   49.6% |    0.56% | 觀望
8996.TW    |   rebound    |   53.1% |    1.54% | 觀望
3465.TWO   | short_swing  |   48.8% |    2.03% | ⏱️ 短線撤退
2485.TW    |   rebound    |   47.7% |   -0.19% | 觀望
3708.TW    | short_swing  |   47.4% |    1.02% | ⏱️ 短線撤退
1466.TW    | bias_reversion |   44.6% |    0.70% | 觀望
4533.TWO   |   rebound    |   49.8% |    0.23% | 觀望
6855.TWO   |   rebound    |   44.3% |    0.03% | 觀望
2108.TW    | short_swing  |   43.4% |    0.51% | ⏱️ 短線撤退
1409.TW    |   rebound    |   46.9% |    0.00% | 觀望
2049.TW    |   rebound    |   50.3% |    0.22% | 觀望
6859.TWO   | short_swing  |   44.1% |   -0.08% | ⏱️ 短線撤退
6212.TWO   | short_swing  |   44.5% |    0.51% | ⏱️ 短線撤退
5474.TWO   | short_swing  |   47.6% |    1.31% | ⏱️ 短線撤退
8438.TW    | short_swing  |   43.3% |    0.98% | ⏱️ 短線撤退
5351.TWO   | bias_reversion |   49.9% |    0.23% | 觀望
1560.TW    | bias_reversion |   52.0% |    0.67% | 觀望
9105.TW    |   rebound    |   43.8% |    0.17% | 觀望
2353.TW    | bias_reversion |   54.3% |    0.34% | 觀望
2646.TW    | bias_reversion |   40.0% |    0.21% | 觀望
1736.TW    |   rebound    |   46.7% |    0.52% | 觀望
6982.TWO   |   rebound    |   44.4% |    0.77% | 觀望
1593.TWO   | short_swing  |   37.0% |    0.21% | ⏱️ 短線撤退
6190.TWO   | bias_reversion |   55.3% |    0.47% | 觀望
2331.TW    | bias_reversion |   46.3% |    0.06% | 觀望
9910.TW    | bias_reversion |   46.1% |    0.27% | 觀望
5471.TW    |   rebound    |   53.8% |    0.30% | 觀望
00909.TW   | short_swing  |   67.0% |    1.04% | ⏱️ 短線撤退
3508.TWO   | short_swing  |   42.8% |    0.71% | ⏱️ 短線撤退
2498.TW    | short_swing  |   46.1% |    0.98% | ⏱️ 短線撤退
00753L.TW  | short_swing  |   53.4% |    1.21% | ⏱️ 短線撤退
6861.TW    | short_swing  |   41.6% |    0.75% | 觀望
8110.TW    |   rebound    |   50.9% |    0.84% | 觀望
2481.TW    | short_swing  |   47.8% |    1.10% | ⏱️ 短線撤退
4722.TW    |   rebound    |   48.6% |    0.12% | 觀望
5516.TWO   |   rebound    |   40.0% |    0.14% | 觀望
5223.TWO   | short_swing  |   43.1% |    0.88% | ⏱️ 短線撤退
3083.TWO   | short_swing  |   43.5% |    0.47% | ⏱️ 短線撤退
7777.TWO   | short_swing  |   42.3% |    6.01% | ⏱️ 短線撤退
2393.TW    | bias_reversion |   48.3% |   -0.05% | 觀望
3615.TWO   | bias_reversion |   50.2% |    0.85% | 觀望
5205.TWO   | short_swing  |   43.9% |    3.53% | 觀望
6937.TW    |   rebound    |   43.2% |    0.96% | 觀望
1611.TW    | bias_reversion |   45.9% |   -0.29% | 觀望
6230.TW    | short_swing  |   44.0% |    1.06% | ⚡ 短線攻擊
2413.TW    | bias_reversion |   49.0% |    0.36% | 觀望
6887.TW    | short_swing  |   20.0% |   -5.18% | ⏱️ 短線撤退
6188.TWO   | bias_reversion |   49.9% |    0.47% | 觀望
3535.TW    | bias_reversion |   45.1% |    0.40% | 觀望
2726.TWO   |   rebound    |   44.3% |    0.13% | 觀望
2103.TW    | bias_reversion |   47.3% |    0.24% | 觀望
6980.TWO   |   rebound    |   63.6% |    4.61% | 觀望
2317.TW    | short_swing  |   46.1% |    0.15% | ⏱️ 短線撤退
1815.TWO   |   rebound    |   46.8% |    0.25% | 觀望
6890.TW    | short_swing  |   37.5% |   -0.01% | ⏱️ 短線撤退
2431.TW    | bias_reversion |   47.2% |    0.56% | 觀望
9921.TW    | short_swing  |   44.2% |   -0.13% | ⏱️ 短線撤退
6640.TWO   | short_swing  |   43.1% |    0.95% | ⏱️ 短線撤退
2451.TW    | short_swing  |   48.5% |    0.16% | ⏱️ 短線撤退
3526.TWO   |   rebound    |   51.8% |    0.44% | 觀望
2010.TW    | short_swing  |   51.1% |    0.77% | ⏱️ 短線撤退
00770.TW   |   rebound    |   61.2% |    0.37% | 觀望
3234.TWO   | short_swing  |   41.1% |    0.32% | ⏱️ 短線撤退
00795B.TWO | short_swing  |   40.2% |   -0.47% | ⚡ 短線攻擊
2302.TW    | bias_reversion |   45.7% |    0.32% | 觀望
6957.TW    |   rebound    |   36.7% |   -0.77% | 觀望
3025.TW    | short_swing  |   45.4% |    1.20% | ⏱️ 短線撤退
5011.TWO   | bias_reversion |   44.2% |    0.05% | 觀望
8234.TWO   | short_swing  |   47.4% |    0.68% | ⏱️ 短線撤退
7714.TWO   | short_swing  |   44.6% |   -0.69% | ⏱️ 短線撤退
1432.TW    | short_swing  |   38.9% |    0.42% | ⏱️ 短線撤退
3661.TW    |   rebound    |   49.1% |    1.41% | 觀望
3033.TW    | bias_reversion |   54.5% |    0.49% | 觀望
00646.TW   | short_swing  |   54.3% |    0.04% | ⏱️ 短線撤退
6592.TW    |   rebound    |   46.2% |    0.10% | 觀望
2314.TW    | short_swing  |   39.4% |   -0.21% | ⏱️ 短線撤退
6451.TW    | bias_reversion |   54.7% |    1.41% | 觀望
3308.TW    |   rebound    |   44.2% |    0.94% | 觀望
3712.TW    |   rebound    |   50.5% |    1.02% | 觀望
4123.TWO   | short_swing  |   44.4% |    0.22% | ⚡ 短線攻擊
4973.TWO   |   rebound    |   46.6% |    0.27% | 觀望
00720B.TWO | bias_reversion |   41.4% |    0.03% | 觀望
5225.TW    | bias_reversion |   49.6% |    0.34% | 觀望
1438.TW    |   rebound    |   38.9% |    0.47% | 觀望
4927.TW    | short_swing  |   47.2% |    0.36% | ⏱️ 短線撤退
3221.TWO   | bias_reversion |   48.4% |    0.60% | 觀望
00830.TW   | short_swing  |   56.7% |    0.58% | ⏱️ 短線撤退
8150.TW    |   rebound    |   48.0% |    0.20% | 觀望
6438.TW    |   rebound    |   47.4% |    0.34% | 觀望
2359.TW    | short_swing  |   41.4% |    0.31% | ⏱️ 短線撤退
2891.TW    | bias_reversion |   61.0% |    0.68% | 觀望
6706.TW    | short_swing  |   46.2% |    0.77% | ⏱️ 短線撤退
2455.TW    | short_swing  |   51.9% |    0.90% | 觀望
8111.TWO   | short_swing  |   43.9% |    1.01% | ⏱️ 短線撤退
2492.TW    | short_swing  |   45.7% |    0.61% | ⏱️ 短線撤退
2347.TW    | bias_reversion |   53.0% |    0.02% | 觀望
00981B.TWO | bias_reversion |   62.5% |   -0.11% | 觀望
3252.TWO   | short_swing  |   38.1% |    0.57% | ⏱️ 短線撤退
6789.TW    | short_swing  |   48.1% |    0.70% | ⏱️ 短線撤退
2404.TW    | short_swing  |   60.3% |    0.90% | ⏱️ 短線撤退
4916.TW    |   rebound    |   47.8% |    0.31% | 觀望
00953B.TW  | bias_reversion |   50.0% |   -0.20% | 觀望
1418.TW    |   rebound    |   35.6% |    0.24% | 觀望
6138.TWO   | bias_reversion |   57.2% |    0.80% | 觀望
6965.TW    |   rebound    |   50.0% |    0.27% | 觀望
7812.TWO   | short_swing  |   23.8% |   -1.05% | 觀望
2923.TW    | bias_reversion |   49.7% |    0.65% | 觀望
8477.TWO   |   rebound    |   37.8% |   -0.28% | 觀望
1538.TW    |   rebound    |   35.6% |    0.21% | 觀望
2466.TW    | short_swing  |   43.7% |    0.93% | ⏱️ 短線撤退
2367.TW    | short_swing  |   42.0% |    0.90% | ⚡ 短線攻擊
3131.TWO   |   rebound    |   56.4% |    1.25% | 觀望
2230.TWO   | short_swing  |   41.9% |    0.74% | ⏱️ 短線撤退
3675.TWO   | bias_reversion |   46.9% |    0.72% | 觀望
8431.TWO   |   rebound    |   45.1% |    0.40% | 🛡️ 十日撐買
3189.TW    | bias_reversion |   51.7% |    0.43% | 觀望
2206.TW    | short_swing  |   44.4% |    0.31% | ⏱️ 短線撤退
6486.TWO   |   rebound    |   50.9% |    0.26% | 觀望
2881.TW    |   rebound    |   48.6% |    0.12% | 觀望
6928.TW    | short_swing  |   29.5% |    0.24% | ⏱️ 短線撤退
3443.TW    | bias_reversion |   59.2% |    1.74% | 觀望
5328.TWO   |   rebound    |   51.4% |    0.97% | 觀望
2329.TW    | short_swing  |   48.8% |    0.55% | ⏱️ 短線撤退
6163.TWO   |   rebound    |   47.2% |    0.21% | 觀望
2316.TW    |   rebound    |   51.7% |    0.81% | 觀望
6244.TWO   | short_swing  |   43.1% |    0.04% | ⏱️ 短線撤退
2834.TW    | bias_reversion |   63.6% |    0.83% | 觀望
2022.TW    | short_swing  |   42.5% |    0.99% | ⏱️ 短線撤退
8088.TWO   | bias_reversion |   49.4% |    0.23% | 觀望
1310.TW    | short_swing  |   45.9% |    0.38% | ⚡ 短線攻擊
2072.TWO   |   rebound    |   45.1% |    1.07% | 觀望
5386.TWO   | short_swing  |   39.3% |    0.85% | 觀望
00703.TW   | short_swing  |   53.5% |    0.33% | ⏱️ 短線撤退
4551.TW    | short_swing  |   45.2% |   -0.01% | ⏱️ 短線撤退
5203.TW    |   rebound    |   48.4% |    0.13% | 觀望
7795.TW    | short_swing  |   64.5% |    3.68% | ⏱️ 短線撤退
4904.TW    | bias_reversion |   50.5% |   -0.07% | 觀望
4946.TWO   |   rebound    |   37.7% |    2.57% | 觀望
6695.TW    | bias_reversion |   48.1% |    1.36% | 觀望
1305.TW    | short_swing  |   46.5% |    0.34% | ⏱️ 短線撤退
00900.TW   |   rebound    |   52.8% |    0.08% | 觀望
3532.TW    | short_swing  |   48.7% |    1.59% | ⏱️ 短線撤退
1314.TW    |   rebound    |   49.0% |    0.49% | 觀望
6885.TW    |   rebound    |   57.1% |    0.89% | 觀望
00719B.TWO | bias_reversion |    0.0% |   -0.88% | 觀望
1304.TW    | short_swing  |   42.9% |    0.42% | ⏱️ 短線撤退
5274.TWO   | bias_reversion |   51.5% |    0.79% | 觀望
00923.TW   |   rebound    |   55.7% |    0.24% | 觀望
6873.TW    | short_swing  |   53.8% |    1.13% | ⏱️ 短線撤退
4909.TWO   |   rebound    |   42.8% |    0.21% | 觀望
6016.TWO   | short_swing  |   53.7% |    0.79% | ⏱️ 短線撤退
9906.TW    | short_swing  |   47.2% |    1.66% | ⏱️ 短線撤退
8069.TWO   | short_swing  |   48.5% |    0.14% | ⏱️ 短線撤退
2340.TW    | bias_reversion |   53.4% |    0.20% | 觀望
3138.TW    | short_swing  |   45.9% |    1.79% | ⏱️ 短線撤退
5347.TWO   |   rebound    |   52.4% |    0.37% | 觀望
3017.TW    | bias_reversion |   58.3% |    1.15% | 觀望
3037.TW    | bias_reversion |   61.0% |    1.23% | 觀望
1503.TW    | short_swing  |   45.6% |    0.64% | ⏱️ 短線撤退
3441.TWO   |   rebound    |   41.9% |   -0.00% | 觀望
8080.TWO   | short_swing  |   42.7% |    3.38% | ⏱️ 短線撤退
5490.TWO   |   rebound    |   46.9% |    0.03% | 🛡️ 十日撐買
2607.TW    | bias_reversion |   52.0% |    0.45% | 觀望
4768.TWO   | short_swing  |   48.6% |    1.40% | ⏱️ 短線撤退
4755.TW    |   rebound    |   50.7% |    0.50% | 觀望
5469.TW    | short_swing  |   51.5% |    0.55% | ⏱️ 短線撤退
3305.TW    | short_swing  |   43.3% |    0.53% | ⏱️ 短線撤退
6236.TWO   | short_swing  |   45.7% |    1.78% | ⏱️ 短線撤退
6214.TW    | bias_reversion |   50.5% |    0.21% | 觀望
6552.TW    |   rebound    |   47.1% |    0.45% | 觀望
1216.TW    | bias_reversion |   43.4% |   -0.25% | 觀望
2887.TW    |   rebound    |   50.0% |    0.11% | 觀望
1471.TW    | short_swing  |   40.2% |    0.82% | ⏱️ 短線撤退
2493.TW    |   rebound    |   56.3% |    0.36% | 觀望
1590.TW    | bias_reversion |   48.5% |    0.07% | 觀望
4127.TWO   | short_swing  |   40.4% |    0.06% | ⏱️ 短線撤退
00919.TW   |   rebound    |   57.7% |    0.32% | 觀望
6217.TWO   |   rebound    |   51.4% |    0.77% | 觀望
1710.TW    |   rebound    |   47.5% |    0.10% | 觀望
6213.TW    | bias_reversion |   54.5% |    0.88% | 觀望
9103.TW    | short_swing  |   32.1% |    0.86% | ⏱️ 短線撤退
2337.TW    | short_swing  |   51.8% |    1.46% | ⏱️ 短線撤退
6796.TW    | short_swing  |   41.3% |    0.83% | ⏱️ 短線撤退
6133.TW    | bias_reversion |   49.1% |    0.94% | 觀望
3466.TWO   | short_swing  |   38.7% |    0.82% | 觀望
7799.TW    | short_swing  |   60.5% |    4.76% | ⏱️ 短線撤退
3036.TW    | bias_reversion |   54.2% |    0.72% | 觀望
3163.TWO   | short_swing  |   48.6% |    0.94% | ⏱️ 短線撤退
2495.TW    |   rebound    |   48.3% |    0.05% | 觀望
6225.TW    | short_swing  |   41.7% |    1.33% | 觀望
1444.TW    | bias_reversion |   51.4% |    0.46% | 觀望
0056.TW    | short_swing  |   59.5% |    0.28% | ⏱️ 短線撤退
8463.TW    |   rebound    |   41.2% |   -0.02% | 觀望
8077.TWO   | short_swing  |   37.4% |    0.82% | ⏱️ 短線撤退
6684.TWO   |   rebound    |   46.6% |    1.42% | 觀望
3546.TWO   | short_swing  |   48.2% |    0.75% | ⏱️ 短線撤退
3552.TWO   | bias_reversion |   45.9% |    0.01% | 觀望
2377.TW    |   rebound    |   52.2% |    0.40% | 🛡️ 十日撐買
4583.TW    | short_swing  |   49.3% |    1.21% | ⏱️ 短線撤退
00910.TW   |   rebound    |   57.9% |    0.75% | 觀望
2397.TW    |   rebound    |   44.8% |    0.27% | 觀望
8279.TWO   | bias_reversion |   52.1% |    0.61% | 觀望
2006.TW    | short_swing  |   51.5% |    0.73% | ⚡ 短線攻擊
6715.TW    |   rebound    |   50.8% |    1.32% | 觀望
3034.TW    |   rebound    |   49.6% |    0.21% | 觀望
3588.TW    | bias_reversion |   46.8% |    0.65% | 觀望
2603.TW    | short_swing  |   50.0% |    0.87% | ⚡ 短線攻擊
6643.TWO   | short_swing  |   43.0% |    0.33% | 觀望
6854.TW    | short_swing  |   50.0% |    2.09% | ⏱️ 短線撤退
1459.TW    |   rebound    |   40.5% |    0.16% | 觀望
4903.TWO   | short_swing  |   45.1% |    1.53% | ⏱️ 短線撤退
8444.TWO   | short_swing  |   47.6% |    0.96% | ⏱️ 短線撤退
3016.TW    | short_swing  |   47.3% |    0.84% | ⏱️ 短線撤退
6533.TW    | short_swing  |   45.1% |    1.78% | ⏱️ 短線撤退
00985A.TW  |   rebound    |   58.3% |    1.29% | 觀望
6620.TWO   | short_swing  |   47.0% |    1.48% | ⏱️ 短線撤退
1326.TW    | bias_reversion |   51.2% |   -0.08% | 觀望
6517.TWO   | short_swing  |   50.8% |    2.84% | ⏱️ 短線撤退
1583.TW    | bias_reversion |   49.5% |    0.02% | 觀望
4919.TW    | short_swing  |   44.6% |    0.69% | ⏱️ 短線撤退
6142.TW    | bias_reversion |   45.1% |    0.14% | 觀望
2321.TW    | short_swing  |   42.3% |    2.27% | ⏱️ 短線撤退
3213.TWO   |   rebound    |   48.5% |    0.42% | 觀望
2327.TW    | short_swing  |   48.1% |    0.41% | ⏱️ 短線撤退
8289.TWO   | short_swing  |   41.3% |   -0.03% | ⏱️ 短線撤退
5439.TWO   | short_swing  |   50.5% |    0.92% | ⏱️ 短線撤退
2009.TW    | bias_reversion |   44.4% |    0.90% | 觀望
6423.TWO   | short_swing  |   40.6% |    0.92% | ⏱️ 短線撤退
2610.TW    | short_swing  |   50.0% |    0.89% | ⏱️ 短線撤退
2836.TW    | bias_reversion |   72.0% |    0.92% | 觀望
2379.TW    |   rebound    |   54.5% |    0.73% | 觀望
6546.TWO   | short_swing  |   45.9% |    1.06% | ⚡ 短線攻擊
3533.TW    |   rebound    |   47.2% |    0.31% | 觀望
2882.TW    |   rebound    |   48.4% |    0.00% | 觀望
6456.TW    |   rebound    |   48.9% |   -0.19% | 觀望
00981A.TW  |   rebound    |   76.7% |    1.38% | 觀望
3059.TW    | bias_reversion |   52.1% |    0.57% | 觀望
4541.TWO   |   rebound    |   45.9% |    0.30% | 觀望
4938.TW    |   rebound    |   51.2% |    0.23% | 觀望
6265.TWO   |   rebound    |   43.2% |    0.28% | 觀望
3206.TWO   |   rebound    |   48.1% |    0.57% | 觀望
5340.TWO   | short_swing  |   46.0% |    1.33% | ⏱️ 短線撤退
4585.TW    | bias_reversion |   33.3% |   -0.38% | 觀望
3338.TW    | short_swing  |   44.8% |    0.35% | ⏱️ 短線撤退
5302.TWO   |   rebound    |   47.0% |    0.96% | 觀望
3702.TW    | bias_reversion |   52.5% |    0.33% | 觀望
2548.TW    | short_swing  |   55.1% |    0.43% | ⏱️ 短線撤退
00922.TW   |   rebound    |   62.4% |    0.52% | 觀望
8390.TWO   | bias_reversion |   51.2% |    1.07% | 觀望
3672.TWO   |   rebound    |   37.3% |    0.18% | 🛡️ 十日撐買
2615.TW    | short_swing  |   55.6% |    2.64% | ⚡ 短線攻擊
2606.TW    | bias_reversion |   57.0% |    0.66% | 觀望
1308.TW    | bias_reversion |   51.1% |    0.58% | 觀望
6768.TW    |   rebound    |   49.3% |    0.83% | 觀望
6720.TWO   |   rebound    |   37.0% |    1.91% | 🛡️ 十日撐買
8383.TWO   |   rebound    |   45.4% |    0.07% | 觀望
6550.TW    | short_swing  |   40.9% |    0.86% | ⏱️ 短線撤退
6753.TW    | short_swing  |   48.6% |    2.68% | ⏱️ 短線撤退
6228.TWO   | short_swing  |   41.9% |    1.85% | ⏱️ 短線撤退
2468.TW    | short_swing  |   41.6% |    0.54% | ⏱️ 短線撤退
3041.TW    |   rebound    |   41.4% |    0.00% | 觀望
2472.TW    |   rebound    |   49.9% |    0.66% | 觀望
6275.TWO   |   rebound    |   53.1% |    0.67% | 觀望
6469.TWO   |   rebound    |   46.9% |    0.66% | 觀望
6426.TW    | short_swing  |   45.9% |    0.93% | ⏱️ 短線撤退
6112.TW    |   rebound    |   42.0% |   -0.00% | 觀望
5272.TWO   |   rebound    |   46.1% |   -0.06% | 觀望
6005.TW    | short_swing  |   54.1% |    0.44% | ⏱️ 短線撤退
2258.TW    |   rebound    |   47.5% |    0.23% | 觀望
00948B.TWO | short_swing  |   45.5% |   -0.25% | ⚡ 短線攻擊
00902.TW   |   rebound    |   53.3% |    0.07% | 觀望
2449.TW    | short_swing  |   51.5% |    0.68% | ⏱️ 短線撤退
6613.TWO   |   rebound    |   49.3% |    0.62% | 觀望
5443.TWO   |   rebound    |   55.4% |    0.78% | 觀望
3167.TW    | short_swing  |   51.8% |    1.03% | ⏱️ 短線撤退
6579.TW    | bias_reversion |   53.3% |    0.57% | 觀望
3611.TWO   |   rebound    |   46.6% |    0.16% | 觀望
6219.TWO   | bias_reversion |   47.5% |    0.40% | 觀望
2892.TW    | bias_reversion |   61.8% |    1.00% | 觀望
2889.TW    | short_swing  |   50.0% |    0.29% | ⏱️ 短線撤退
3713.TWO   |   rebound    |   35.1% |    1.50% | 觀望
2014.TW    |   rebound    |   48.1% |    0.78% | 觀望
2438.TW    | short_swing  |   42.9% |    0.84% | ⏱️ 短線撤退
2231.TW    | short_swing  |   41.6% |   -0.51% | ⏱️ 短線撤退
2354.TW    | short_swing  |   48.8% |    0.66% | ⏱️ 短線撤退
3680.TWO   |   rebound    |   45.2% |    0.48% | 觀望
00761B.TWO | bias_reversion |   42.1% |   -0.10% | 觀望
4171.TWO   | short_swing  |   42.0% |    1.11% | ⏱️ 短線撤退
6541.TW    | short_swing  |   40.8% |    0.70% | ⏱️ 短線撤退
4154.TWO   | short_swing  |   38.6% |    0.70% | ⏱️ 短線撤退
7738.TWO   |   rebound    |   51.6% |    1.86% | 觀望
5371.TWO   | short_swing  |   51.3% |    1.46% | ⏱️ 短線撤退
3541.TWO   |   rebound    |   51.8% |    0.48% | 觀望
00939.TW   | bias_reversion |   75.0% |    0.67% | 觀望
3062.TW    |   rebound    |   46.4% |    0.06% | 觀望
4571.TW    | short_swing  |   46.1% |    2.48% | ⏱️ 短線撤退
9929.TW    |   rebound    |   33.7% |   -0.19% | 觀望
6488.TWO   | short_swing  |   50.4% |    0.58% | 觀望
3416.TW    |   rebound    |   48.6% |    0.36% | 觀望
4142.TW    |   rebound    |   37.4% |   -0.09% | 觀望
5388.TW    | bias_reversion |   46.2% |   -0.34% | 觀望
3419.TW    |   rebound    |   45.1% |    0.10% | 🛡️ 十日撐買
3191.TWO   | short_swing  |   48.2% |    1.87% | 觀望
5222.TW    |   rebound    |   47.3% |    0.59% | 觀望
009814.TWO | short_swing  |  100.0% |    0.39% | ⏱️ 短線撤退
1528.TW    |   rebound    |   41.1% |    0.53% | 觀望
6666.TW    | short_swing  |   34.9% |   -0.05% | ⏱️ 短線撤退
2344.TW    | short_swing  |   46.2% |    1.03% | ⏱️ 短線撤退
7788.TW    | short_swing  |   66.7% |    8.35% | ⏱️ 短線撤退
3684.TWO   |   rebound    |   40.5% |    0.22% | 🛡️ 十日撐買
00735.TW   |   rebound    |   53.1% |    0.22% | 觀望
3227.TWO   | short_swing  |   46.8% |    0.64% | ⏱️ 短線撤退
2105.TW    | bias_reversion |   48.9% |    0.15% | 觀望
2460.TW    |   rebound    |   49.5% |    0.91% | 觀望
7781.TWO   |   rebound    |   46.2% |   12.63% | 觀望
3035.TW    | short_swing  |   49.4% |    1.12% | ⏱️ 短線撤退
2357.TW    | bias_reversion |   51.0% |    0.35% | 觀望
00686R.TW  | short_swing  |   28.9% |   -0.76% | 觀望
2801.TW    | bias_reversion |   53.8% |    0.25% | 觀望
00864B.TWO | bias_reversion |    0.0% |   -0.90% | 觀望
5291.TWO   | short_swing  |   47.8% |    1.13% | ⏱️ 短線撤退
8455.TWO   |   rebound    |   38.0% |    0.61% | 觀望
3040.TW    |   rebound    |   38.5% |    0.14% | 觀望
4130.TWO   | short_swing  |   40.1% |   -0.03% | 觀望
3205.TWO   | short_swing  |   39.2% |    0.99% | ⏱️ 短線撤退
2439.TW    |   rebound    |   49.7% |    0.05% | 觀望
2371.TW    | short_swing  |   49.1% |    0.83% | ⏱️ 短線撤退
6894.TWO   |   rebound    |   54.4% |    1.07% | 觀望
00937B.TWO | bias_reversion |   53.8% |   -0.98% | 觀望
6125.TWO   | bias_reversion |   53.3% |    0.40% | 觀望
2204.TW    | bias_reversion |   48.4% |    0.61% | 觀望
5871.TW    | short_swing  |   47.3% |    0.02% | ⏱️ 短線撤退
2429.TW    | short_swing  |   39.8% |    1.40% | ⏱️ 短線撤退
1809.TW    | bias_reversion |   50.9% |    0.32% | 觀望
6884.TWO   |   rebound    |   39.4% |    0.53% | 觀望
7737.TWO   | short_swing  |   28.6% |   -1.39% | ⏱️ 短線撤退
2342.TW    | short_swing  |   42.3% |    0.89% | ⏱️ 短線撤退
8255.TWO   | bias_reversion |   50.8% |    0.32% | 觀望
6612.TWO   |   rebound    |   43.3% |    0.49% | 觀望
6560.TWO   |   rebound    |   41.6% |    0.33% | 觀望
8299.TWO   | short_swing  |   51.4% |    0.88% | ⏱️ 短線撤退
1609.TW    | bias_reversion |   50.8% |    0.20% | 觀望
009801.TW  |   rebound    |   70.3% |    0.88% | 觀望
5269.TW    | short_swing  |   54.4% |    0.87% | ⏱️ 短線撤退
2069.TW    |   rebound    |   41.8% |    0.13% | 觀望
3555.TWO   |   rebound    |   38.8% |    1.35% | 觀望
3551.TWO   |   rebound    |   50.5% |    0.65% | 觀望
5285.TW    |   rebound    |   46.9% |    0.33% | 觀望
6243.TW    | short_swing  |   43.9% |    0.67% | ⏱️ 短線撤退
