eps_yoy,prev_rev_yoy,rev_yoy,status,prev_eps,prev_eps_yoy,symbol,date,price,prev_year,name,pe,om,eps,expansion,advice,est_price,gm
2200.0,-4.5,974.97,🚀 利潤擴張,0.15,50.0,4711.TWO,2026-03,16.6000003815,2025,永純,32.54902035588235,2.47%,0.23,1225.03,⚠️ 追價風險,7.65,14.61%
1300.0,-0.24,142.36,🚀 利潤擴張,0.09,250.0,1718.TW,2026-03,14.8999996185,2025,中纖,36.34146248414634,18.72%,0.17,1157.6399999999999,⚠️ 追價風險,6.15,41.46%
1275.0,49.68,120.91,🏰 高護城河,1.52,406.67,3219.TWO,2026-03,73.6999969482,2025,倚強科,16.3777770996,-15.39%,0.48,1154.09,⚪ 中性觀察,67.5,69.49%
1600.0,9.81,536.39,🚀 利潤擴張,0.31,-17.95,5291.TWO,2026-03,53.0,2025,邑昇,71.62162162162163,N/A,0.17,1063.6100000000001,⚠️ 追價風險,11.1,N/A
1100.0,4.27,117.67,🏰 高護城河,3.45,-6.25,3025.TW,2026-03,57.7000007629,2025,星通,11.032504925984703,43.45%,0.6,982.33,💎 強力關注,78.44999999999999,68.55%
2600.0,2.46,1792.89,🚀 利潤擴張,13.06,110.31,4967.TW,2026-03,230.5,2025,十銓,5.162374020156775,N/A,27.0,807.1099999999999,💎 強力關注,669.75,N/A
1014.29,21.27,280.55,🚀 利潤擴張,1.23,46.43,2359.TW,2026-03,144.0,2025,所羅門,122.03389830508478,2.82%,0.78,733.74,⚠️ 追價風險,17.699999999999996,24.10%
1211.11,-40.26,496.76,🔄 轉虧為盈,-4.39,-566.18,1762.TW,2026-03,37.5999984741,2025,中化生,0.0,-143.69%,1.64,714.3499999999999,⚪ 數據不足,-85.05,-78.82%
2666.67,8.08,2018.02,🚀 利潤擴張,0.87,-51.41,3006.TW,2026-03,239.0,2025,晶豪科,98.76033057851242,20.25%,7.22,648.6500000000001,⚠️ 追價風險,36.29999999999999,32.33%
1100.0,-10.95,510.23,🔄 轉虧為盈,-0.84,-266.0,2464.TW,2026-03,159.5,2025,盟立,0.0,-3.37%,0.24,589.77,⚪ 數據不足,-26.55,17.62%
2067.82,69.84,1484.6,🏰 高護城河,12.98,140.33,2451.TW,2026-03,253.0,2025,創見,6.465627395859953,55.59%,18.93,583.2200000000003,💎 強力關注,586.95,61.62%
806.67,58.31,224.53,🔄 轉虧為盈,-0.07,89.09,3521.TWO,2026-03,12.6000003815,2025,台鋼建設,6.4285716232142835,-147.39%,2.12,582.14,💎 強力關注,29.400000000000006,-40.24%
1763.64,-44.61,1184.49,🚀 利潤擴張,1.01,-68.84,2101.TW,2026-03,34.0999984741,2025,南港,16.715685526519607,4.39%,1.86,579.1500000000001,⚪ 中性觀察,30.6,20.96%
1100.0,-2.21,543.13,🔄 轉虧為盈,-1.02,-197.14,4510.TWO,2026-03,41.75,2025,高鋒,0.0,-1.97%,0.2,556.87,⚪ 數據不足,-36.6,14.87%
