
📅 投資日報表: 2026-07-15
=======================================================================================================================================
代號     | 名稱       | 開盤     | 最高     | 最低     | 最新     | 成交量         | 平均成本    | 股數     | 損益       | 報酬%
---------------------------------------------------------------------------------------------------------------------------------------
2317     | 鴻海         | 236.00   | 239.50   | 235.50   | 239.50   | 16,882,803   | 241.21      | 2000     | ▼3,420    |   -0.71%
4142     | 國光生        | 17.00    | 17.35    | 16.95    | 17.30    | 883,899      | 25.32       | 1000     | ▼8,020    |  -31.67%
0050     | 元大台灣50     | 105.30   | 105.90   | 104.65   | 105.80   | 54,000,562   | 46.60       | 16000    | ▲947,200  | +127.04%
0056     | 元大高股息      | 52.50    | 52.75    | 52.35    | 52.75    | 19,249,616   | 36.43       | 4000     | ▲65,280   |  +44.80%
00635U   | 期元大S&P黃金   | 42.22    | 42.27    | 41.97    | 42.04    | 615,634      | 55.25       | 3000     | ▼39,630   |  -23.91%
00738U   | 期元大道瓊白銀    | 47.35    | 47.47    | 46.90    | 46.95    | 1,023,318    | 66.26       | 1000     | ▼19,310   |  -29.14%
00929    | 復華台灣科技優息   | 29.93    | 30.06    | 29.70    | 30.06    | 11,909,067   | 19.73       | 8000     | ▲82,640   |  +52.36%
009816   | 凱基台灣TOP50  | 15.14    | 15.30    | 15.07    | 15.29    | 59,683,717   | 11.01       | 63000    | ▲269,640  |  +38.87%
00990A   | 主動元大AI新經濟  | 17.86    | 18.09    | 17.78    | 18.07    | 15,204,330   | 11.48       | 5000     | ▲32,950   |  +57.40%
2009     | 第一銅        | 38.05    | 38.60    | 38.05    | 38.30    | 482,340      | 50.56       | 4000     | ▼49,040   |  -24.25%
2337     | 旺宏         | 144.50   | 150.50   | 144.00   | 148.50   | 91,196,097   | 95.28       | 2000     | ▲106,440  |  +55.86%
2409     | 友達         | 28.20    | 28.75    | 27.70    | 28.25    | 143,620,661  | 16.21       | 2000     | ▲24,080   |  +74.28%
3481     | 群創         | 58.40    | 59.20    | 57.40    | 58.50    | 190,611,370  | 25.10       | 4000     | ▲133,600  | +133.07%
3105     | 穩懋         | 387.00   | 394.00   | 379.00   | 388.00   | 9,552,561    | 556.47      | 300      | ▼50,541   |  -30.27%
4966     | 譜瑞-KY      | 630.00   | 640.00   | 626.00   | 637.00   | 464,557      | 1921.64     | 1000     | ▼1,284,640 |  -66.85%
2327     | 國巨*        | 799.00   | 813.00   | 773.00   | 797.00   | 34,931,471   | 1030.00     | 1        | ▼233      |  -22.62%
00403A   | 主動統一升級50   | 10.25    | 10.44    | 10.19    | 10.39    | 167,482,897  | 10.68       | 26000    | ▼7,540    |   -2.72%
00981A   | 主動統一台股增長   | 28.75    | 29.40    | 28.51    | 29.30    | 133,922,110  | 27.48       | 2000     | ▲3,640    |   +6.62%
2330     | 台積電        | 2425.00  | 2455.00  | 2415.00  | 2445.00  | 12,148,488   | 225.55      | 10       | ▲22,194   | +984.02%
6789     | 采鈺         | 485.00   | 529.00   | 478.50   | 526.00   | 2,910,224    | 593.50      | 400      | ▼27,000   |  -11.37%
6849     | 奇鼎科技       | 153.00   | 166.50   | 143.00   | 162.00   | 224,836      | 266.40      | 280      | ▼29,232   |  -39.19%
7853     | 政美應用       | 327.50   | 350.50   | 327.50   | 345.00   | 175,786      | 409.29      | 280      | ▼18,001   |  -15.71%
3576     | 聯合再生       | 17.70    | 18.25    | 17.60    | 17.95    | 17,831,096   | 18.15       | 5000     | ▼1,000    |   -1.10%
1721     | 三晃         | 23.85    | 23.85    | 23.05    | 23.15    | 608,303      | 27.88       | 3000     | ▼14,200   |  -16.98%
8215     | 明基材        | 26.50    | 26.95    | 26.45    | 26.85    | 543,395      | 31.60       | 200      | ▼950      |  -15.03%
00405A   | 主動富邦台灣龍耀   | 8.44     | 8.62     | 8.36     | 8.57     | 42,207,650   | 9.34        | 11000    | ▼8,470    |   -8.24%
5498     | 凱崴         | 55.50    | 56.40    | 54.80    | 56.10    | 867,433      | 69.61       | 188      | ▼2,540    |  -19.41%
1301     | 台塑         | 64.00    | 66.00    | 63.00    | 65.20    | 98,333,957   | 50.50       | 100      | ▲1,470    |  +29.11%
6498     | 久禾光        | 86.80    | 87.80    | 86.20    | 86.50    | 25,412       | 67.30       | 12       | ▲230      |  +28.53%
009821   | 野村稀土關鍵資源   | 13.34    | 13.45    | 13.33    | 13.41    | 6,136,366    | 17.30       | 12000    | ▼46,680   |  -22.49%
---------------------------------------------------------------------------------------------------------------------------------------
💰 庫存總投入:       6,426,664    📊 未實現損益:         +78,918 (  +1.23%)
