advice,pe,prev_rev_yoy,prev_eps,gm,prev_year,eps_yoy,price,om,eps,prev_eps_yoy,name,symbol,date,expansion,rev_yoy,est_price,status
⚪ 中性觀察,12.563024782661063,51.84,1.85,N/A,2025,-39.77,89.6999969482,N/A,0.53,-7.07,智通*,8932.TWO,2026-03,-147.64000000000001,107.87,107.1,📉 獲利侵蝕
⚪ 中性觀察,14.892086879820146,2.84,1.13,N/A,2025,3.33,41.4000015259,N/A,0.32,-5.93,聯寶,6821.TWO,2026-03,-147.67999999999998,151.01,41.699999999999996,⚠️ 獲利稀釋
❌ 暫避觀望,15.78516902944384,12.43,7.37,N/A,2025,17.55,289.5,N/A,2.21,32.55,達興材料,5234.TW,2026-03,-147.81,165.36,275.1,⚠️ 獲利稀釋
⚪ 中性觀察,4.502924050974659,-2.1,2.37,N/A,2025,-29.73,23.1000003815,N/A,0.26,-25.47,三能-KY,6671.TW,2026-03,-148.18,118.45,76.94999999999999,📉 獲利侵蝕
⚪ 中性觀察,8.223684210526317,2.69,0.96,N/A,2025,-62.5,18.75,N/A,0.18,3.23,時報,8923.TWO,2026-03,-148.53,86.03,34.199999999999996,📉 獲利侵蝕
❌ 暫避觀望,19.662921348314608,-23.02,3.0,N/A,2025,-29.77,140.0,N/A,0.92,-58.85,駐龍,4572.TW,2026-03,-148.87,119.1,106.8,📉 獲利侵蝕
❌ 暫避觀望,61.94836716681377,42.0,36.75,41.25%,2025,-0.63,5615.0,31.26%,9.53,49.96,健策,3653.TW,2026-03,-149.18,148.55,1359.6,📉 獲利侵蝕
⚪ 數據不足,0.0,-21.77,-1.63,23.65%,2025,-42.86,90.0,-15.73%,0.4,-148.96,為升,2231.TW,2026-03,-149.42000000000002,106.56,-24.3,🔄 轉虧為盈
⚪ 數據不足,0.0,-42.69,-0.88,N/A,2025,16.0,14.0500001907,N/A,-0.21,-10.0,安克,4188.TWO,2026-03,-150.01,166.01,-33.75,⚠️ 獲利稀釋
⚪ 數據不足,0.0,-3.71,-0.28,N/A,2025,111.11,32.0,N/A,0.01,38.64,光鼎,6226.TW,2026-03,-150.05,261.16,-9.9,🔄 轉虧為盈
⚪ 中性觀察,3.4472933748433054,9.51,4.22,N/A,2025,9.09,36.2999992371,N/A,1.08,10.39,星亞,7753.TWO,2026-03,-150.47,159.56,157.95,⚠️ 獲利稀釋
⚪ 數據不足,0.0,-9.99,-0.57,49.56%,2025,17.31,17.6000003815,23.11%,-0.44,1.75,國光生,4142.TW,2026-03,-150.56,167.87,-47.25000000000001,⚠️ 獲利稀釋
⚪ 中性觀察,12.618083670715249,23.89,6.58,N/A,2025,41.89,187.0,N/A,2.1,198.64,力智,6719.TW,2026-03,-150.93,192.82,222.3,⚠️ 獲利稀釋
❌ 暫避觀望,37.73841961852862,23.03,15.42,N/A,2025,64.88,1385.0,N/A,6.23,-12.9,雍智科技,6683.TWO,2026-03,-151.18,216.06,550.4999999999999,⚠️ 獲利稀釋
⚪ 數據不足,0.0,5.99,-0.62,44.07%,2025,-104.55,30.0,-19.63%,-0.01,-192.54,華義*,3086.TWO,2026-03,-152.4,47.85,-25.5,📉 獲利侵蝕
❌ 暫避觀望,56.984695538912405,35.51,46.93,N/A,2025,13.4,7000.0,N/A,19.54,40.24,穎崴,6515.TW,2026-03,-152.6,166.0,1842.6000000000001,⚠️ 獲利稀釋
⚪ 中性觀察,9.327121995248447,786.25,3.14,N/A,2025,-82.61,90.0999984741,N/A,0.41,131.69,辣椒,4946.TWO,2026-03,-152.6,69.99,144.9,📉 獲利侵蝕
⚪ 中性觀察,3.955223785708955,-15.03,2.87,N/A,2025,-69.68,31.7999992371,N/A,0.58,-39.39,奕力-KY,6962.TW,2026-03,-152.73000000000002,83.05,120.60000000000001,📉 獲利侵蝕
⚪ 中性觀察,7.523923627500001,69.66,3.93,49.60%,2025,-3.85,62.9000015259,5.94%,0.51,61.83,聯發國際,2756.TWO,2026-03,-152.76,148.91,125.39999999999999,📉 獲利侵蝕
❌ 暫避觀望,33.84615384615384,4.92,1.0,38.12%,2025,-27.27,66.0,-0.86%,0.24,-33.77,類比科,3438.TWO,2026-03,-153.12,125.85,29.250000000000004,📉 獲利侵蝕
⚪ 中性觀察,7.964285714285714,-13.21,5.64,N/A,2025,-28.46,111.5,N/A,1.86,-45.5,鼎基,6585.TW,2026-03,-153.44,124.98,210.0,📉 獲利侵蝕
❌ 暫避觀望,41.0377358490566,-88.36,0.68,23.48%,2025,-98.28,21.75,-362.94%,0.01,-32.0,聯德,3308.TW,2026-03,-153.53,55.25,7.95,📉 獲利侵蝕
⚪ 中性觀察,5.122478276231989,-27.63,6.85,34.04%,2025,-93.37,71.0999984741,22.47%,0.16,-51.27,海悅,2348.TW,2026-03,-153.63,60.26,208.2,📉 獲利侵蝕
⚪ 中性觀察,5.8406113537117905,-12.78,1.95,N/A,2025,-45.92,26.75,N/A,0.53,-45.98,耿鼎,1524.TW,2026-03,-154.0,108.08,68.7,📉 獲利侵蝕
⚪ 數據不足,0.0,-2.28,3.18,46.23%,2025,22.41,0.0,41.07%,0.71,3.25,台航,2617.TW,2026-03,-154.59,177.0,0.0,⚠️ 獲利稀釋
⚪ 數據不足,0.0,-11.1,-1.75,34.82%,2025,45.28,25.1499996185,-12.95%,-0.29,-22.38,笙泉,3122.TWO,2026-03,-154.6,199.88,-67.95,⚠️ 獲利稀釋
⚪ 數據不足,0.0,10.49,-1.83,N/A,2025,4.29,49.0999984741,N/A,-0.68,-355.0,芯鼎,6695.TW,2026-03,-154.78,159.07,-87.9,⚠️ 獲利稀釋
❌ 暫避觀望,72.49742002063984,5.02,7.83,58.57%,2025,70.37,1405.0,27.57%,3.68,-12.03,昇達科,3491.TWO,2026-03,-154.98,225.35,290.7,🏰 高護城河
⚪ 中性觀察,7.75112455215892,12.38,2.72,N/A,2025,45.61,51.7000007629,N/A,0.83,-20.23,捷波,6161.TWO,2026-03,-155.0,200.61,100.05,⚠️ 獲利稀釋
⚪ 中性觀察,11.631799163179915,1.22,5.13,N/A,2025,-23.31,139.0,N/A,1.29,-5.16,鐿鈦,4163.TWO,2026-03,-155.49,132.18,179.25000000000003,📉 獲利侵蝕
⚪ 中性觀察,10.11142061281337,-2.32,7.34,N/A,2025,-14.89,181.5,N/A,1.6,2.89,穩得,6761.TWO,2026-03,-155.52999999999997,140.64,269.25,📉 獲利侵蝕
❌ 暫避觀望,15.25083561006689,38.76,1.22,40.97%,2025,-81.4,45.5999984741,11.18%,0.08,15.09,港建*,3093.TWO,2026-03,-155.94,74.54,44.849999999999994,📉 獲利侵蝕
⚪ 中性觀察,11.793214862681745,22.92,5.49,N/A,2025,-41.18,146.0,N/A,0.6,-22.13,聰泰,5474.TWO,2026-03,-156.84,115.66,185.7,📉 獲利侵蝕
⚪ 中性觀察,4.827136333985648,19.77,6.51,N/A,2025,16.67,74.0,N/A,1.75,11.33,久禾光,6498.TWO,2026-03,-156.91000000000003,173.58,229.95000000000002,⚠️ 獲利稀釋
⚪ 中性觀察,9.965596505252291,2.96,1.61,N/A,2025,16.98,43.4500007629,N/A,0.63,-28.18,欣天然,9918.TW,2026-03,-157.4,174.38,65.4,⚠️ 獲利稀釋
⚪ 數據不足,0.0,-2.17,-0.59,N/A,2025,-100.0,11.8999996185,N/A,-0.62,16.9,志旭,8067.TWO,2026-03,-157.79,57.79,-29.85,📉 獲利侵蝕
⚪ 數據不足,0.0,2.86,-1.33,N/A,2025,-90.0,16.8999996185,N/A,-0.57,-1377.78,笙科,5272.TWO,2026-03,-158.26999999999998,68.27,-50.4,📉 獲利侵蝕
❌ 暫避觀望,15.923912628804347,-31.39,0.28,24.73%,2025,-90.0,14.6499996185,-2.71%,0.02,-57.58,憶聲,3024.TW,2026-03,-158.51,68.51,13.800000000000002,📉 獲利侵蝕
❌ 暫避觀望,47.74999936416667,22.38,0.12,N/A,2025,-81.82,28.6499996185,N/A,0.02,139.29,泰霖,8080.TWO,2026-03,-158.55,76.73,9.0,📉 獲利侵蝕
⚪ 中性觀察,7.509454349000541,2.98,8.29,N/A,2025,-68.65,139.0,N/A,1.0,-19.59,三集瑞-KY,6862.TW,2026-03,-159.02,90.37,277.65,📉 獲利侵蝕
⚪ 數據不足,0.0,9.94,-1.29,42.56%,2025,26.19,14.5500001907,-18.87%,-0.31,31.02,中天,4128.TWO,2026-03,-159.39000000000001,185.58,-58.650000000000006,⚠️ 獲利稀釋
⚪ 中性觀察,6.538049303322615,-9.4,12.15,N/A,2025,36.13,183.0,N/A,3.27,-14.17,力領科技,6996.TWO,2026-03,-159.41,195.54,419.85,⚠️ 獲利稀釋
⚪ 中性觀察,8.723404487203647,0.3,1.36,34.44%,2025,-3.77,28.7000007629,17.09%,0.51,-13.92,倉佑,1568.TW,2026-03,-159.61,155.84,49.35,📉 獲利侵蝕
⚪ 數據不足,0.0,11.69,-1.52,N/A,2025,52.94,35.2000007629,N/A,-0.24,-462.96,驊訊,6237.TWO,2026-03,-161.35,214.29,-67.2,⚠️ 獲利稀釋
⚪ 中性觀察,12.26415094339623,-23.31,2.25,N/A,2025,-61.9,65.0,N/A,0.4,-62.55,傑霖科技,8102.TWO,2026-03,-162.27,100.37,79.49999999999999,📉 獲利侵蝕
⚪ 中性觀察,5.486806118025478,37.15,5.51,N/A,2025,-25.14,60.2999992371,N/A,1.37,57.43,海韻電,6203.TWO,2026-03,-162.29000000000002,137.15,164.85,📉 獲利侵蝕
⚪ 中性觀察,9.487179487179485,3.91,6.32,N/A,2025,22.89,148.0,N/A,2.47,-22.95,全宇昕,6651.TWO,2026-03,-163.5,186.39,234.00000000000003,⚠️ 獲利稀釋
⚪ 中性觀察,6.516162134427911,1.19,7.4,25.33%,2025,-8.48,127.0,7.00%,2.59,-12.32,茂訊,3213.TWO,2026-03,-164.20999999999998,155.73,292.35,📉 獲利侵蝕
⚪ 數據不足,0.0,34.04,-1.34,27.86%,2025,-114.81,8.0200004578,-40.94%,-0.58,59.69,隴華,2424.TW,2026-03,-165.21,50.4,-58.8,📉 獲利侵蝕
⚪ 中性觀察,5.421810778076131,-11.82,3.81,44.64%,2025,-26.32,52.7000007629,12.42%,0.84,-32.69,曜亞,4138.TWO,2026-03,-165.56,139.24,145.8,📉 獲利侵蝕
⚪ 中性觀察,8.426723809073277,-4.75,4.31,35.36%,2025,333.33,78.1999969482,30.49%,1.17,-22.2,裕民,2606.TW,2026-03,-165.8,499.13,139.19999999999996,⚠️ 獲利稀釋
❌ 暫避觀望,91.1764705882353,-3.71,0.13,43.11%,2025,12.5,15.5,22.84%,0.09,141.94,海灣,3252.TWO,2026-03,-166.92,179.42,2.55,⚠️ 獲利稀釋
⚪ 中性觀察,14.51310861423221,-0.48,1.91,N/A,2025,197.5,77.5,N/A,1.19,240.74,有成精密,4949.TW,2026-03,-167.23000000000002,364.73,80.1,⚠️ 獲利稀釋
⚪ 中性觀察,13.778801843317975,12.03,8.67,N/A,2025,96.93,299.0,N/A,3.21,-0.23,佳必琪,6197.TW,2026-03,-167.26,264.19,325.49999999999994,⚠️ 獲利稀釋
⚪ 數據不足,0.0,-62.05,-5.1,N/A,2025,25.58,10.3000001907,N/A,-0.64,-40.62,北極星藥業-KY,6550.TW,2026-03,-167.39999999999998,192.98,-160.04999999999998,⚠️ 獲利稀釋
⚪ 數據不足,0.0,-16.89,-1.09,35.81%,2025,-4.55,15.8999996185,-38.32%,-0.23,-234.57,連宇,2482.TW,2026-03,-167.48000000000002,162.93,-45.3,📉 獲利侵蝕
⚪ 數據不足,0.0,-31.28,-1.29,N/A,2025,-11.11,9.2100000381,N/A,-0.4,-516.13,大地-KY,8437.TWO,2026-03,-168.3,157.19,-46.050000000000004,📉 獲利侵蝕
❌ 暫避觀望,22.288359788359788,18.56,12.25,39.78%,2025,21.52,674.0,15.69%,3.85,17.26,研華,2395.TW,2026-03,-168.54,190.06,453.6,⚠️ 獲利稀釋
❌ 暫避觀望,25.43130941664537,-2.5,0.67,N/A,2025,46.51,79.5999984741,N/A,0.64,-69.96,聚鼎,6224.TW,2026-03,-168.57000000000002,215.08,46.949999999999996,⚠️ 獲利稀釋
❌ 暫避觀望,26.31761442441054,28.3,11.33,44.02%,2025,63.39,759.0,23.34%,3.66,32.78,新應材,4749.TWO,2026-03,-169.10000000000002,232.49,432.6,⚠️ 獲利稀釋
❌ 暫避觀望,40.28985507246377,-13.26,3.01,N/A,2025,31.51,278.0,N/A,0.96,-50.25,天虹,6937.TW,2026-03,-169.86,201.37,103.49999999999999,⚠️ 獲利稀釋
⚪ 中性觀察,6.79063936481404,13.3,10.22,N/A,2025,21.39,162.5,N/A,2.27,36.27,安�硌穈T,6690.TWO,2026-03,-170.18,191.57,358.95000000000005,⚠️ 獲利稀釋
❌ 暫避觀望,84.42856924871428,16.84,0.71,N/A,2025,-100.0,59.0999984741,N/A,0.0,152.21,點序,6485.TWO,2026-03,-170.28,70.28,10.5,📉 獲利侵蝕
⚪ 數據不足,0.0,-1.45,-1.63,N/A,2025,25.0,22.3999996185,N/A,-0.21,-54.29,佑全,6929.TWO,2026-03,-170.61,195.61,-49.05,⚠️ 獲利稀釋
⚪ 中性觀察,8.792943077827296,-12.32,4.58,N/A,2025,18.71,94.6999969482,N/A,1.65,-22.77,杰力,5299.TWO,2026-03,-170.81,189.52,161.55,⚠️ 獲利稀釋
❌ 暫避觀望,31.397059384558826,-23.91,0.26,15.09%,2025,620.0,21.3500003815,1.25%,0.36,-89.88,永裕,1323.TW,2026-03,-172.04999999999995,792.05,10.2,⚠️ 獲利稀釋
❌ 暫避觀望,15.04608365248848,-2.97,2.3,45.13%,2025,-43.18,65.3000030518,17.87%,0.28,-22.56,精湛,2070.TWO,2026-03,-172.23000000000002,129.05,65.1,📉 獲利侵蝕
⚪ 中性觀察,3.120411160058737,38.81,5.37,N/A,2025,-55.88,42.5,N/A,0.75,60.88,動力-KY,6591.TW,2026-03,-172.28,116.4,204.29999999999998,📉 獲利侵蝕
❌ 暫避觀望,23.828125,1.84,0.54,40.82%,2025,6.25,30.5,-1.48%,0.17,100.0,誠品生活,2926.TWO,2026-03,-172.47,178.72,19.2,⚠️ 獲利稀釋
❌ 暫避觀望,21.86991838902439,20.59,0.47,30.70%,2025,28.57,26.8999996185,-18.51%,-0.05,461.54,杭特,3297.TWO,2026-03,-173.02,201.59,18.45,⚠️ 獲利稀釋
⚪ 中性觀察,12.265305811040816,-11.73,2.07,N/A,2025,42.86,60.0999984741,N/A,0.7,-22.56,明遠精密,7704.TWO,2026-03,-173.26,216.12,73.49999999999999,⚠️ 獲利稀釋
⚪ 中性觀察,9.30232558139535,1.36,2.35,N/A,2025,18.94,60.0,N/A,1.57,-21.14,諾貝兒,6844.TWO,2026-03,-173.3,192.24,96.74999999999999,⚠️ 獲利稀釋
❌ 暫避觀望,36.49522636279642,10.19,12.75,N/A,2025,218.52,1185.0,N/A,5.19,-14.04,均華,6640.TWO,2026-03,-174.41,392.93,487.05000000000007,⚠️ 獲利稀釋
⚪ 中性觀察,10.909090909090908,2.67,4.99,33.63%,2025,3.17,138.0,17.33%,1.3,3.96,中華電,2412.TW,2026-03,-174.49,177.66,189.75,⚠️ 獲利稀釋
⚪ 中性觀察,8.002645502645501,-3.52,1.75,N/A,2025,29.27,30.25,N/A,0.53,-13.79,邁達康,9960.TWO,2026-03,-174.67999999999998,203.95,56.7,⚠️ 獲利稀釋
❌ 暫避觀望,21.666667040686274,-3.87,0.33,N/A,2025,416.67,22.1000003815,N/A,0.19,-43.1,鴻名,3021.TW,2026-03,-175.97999999999996,592.65,15.3,⚠️ 獲利稀釋
❌ 暫避觀望,44.74959612277868,-9.88,2.67,36.51%,2025,11.85,277.0,9.03%,1.51,-66.46,德微,3675.TWO,2026-03,-176.56,188.41,92.85,⚠️ 獲利稀釋
⚪ 中性觀察,9.647935003385241,20.03,5.62,N/A,2025,84.31,142.5,N/A,3.81,-27.15,研揚,6579.TW,2026-03,-176.75,261.06,221.54999999999998,⚠️ 獲利稀釋
❌ 暫避觀望,18.796295589814815,-54.43,0.2,21.75%,2025,-30.0,10.1499996185,10.56%,0.14,-93.38,寶徠,1805.TW,2026-03,-177.2,147.2,8.100000000000001,📉 獲利侵蝕
❌ 暫避觀望,33.921569624771244,-7.24,0.5,31.63%,2025,42.31,51.9000015259,-1.96%,0.37,-73.51,通嘉,3588.TW,2026-03,-177.57,219.88,22.95,⚠️ 獲利稀釋
❌ 暫避觀望,16.92672998643148,8.51,6.1,30.02%,2025,196.0,249.5,10.45%,2.24,-40.84,閎康,3587.TWO,2026-03,-177.81,373.81,221.1,⚠️ 獲利稀釋
❌ 暫避觀望,75.0,4.29,2.97,37.27%,2025,24.71,525.0,21.78%,1.06,-18.46,全新,2455.TW,2026-03,-178.23,202.94,105.0,⚠️ 獲利稀釋
⚪ 中性觀察,4.420600940236052,-17.82,2.31,25.16%,2025,-10.71,20.6000003815,13.35%,0.5,-12.16,太普高,3284.TWO,2026-03,-178.42000000000002,167.71,69.89999999999999,📉 獲利侵蝕
⚪ 中性觀察,4.184615306369231,8.73,4.21,N/A,2025,-9.84,40.7999992371,N/A,0.55,117.01,綠界科技*,6763.TWO,2026-03,-178.65,168.81,146.25,📉 獲利侵蝕
⚪ 數據不足,0.0,10.32,0.03,N/A,2025,-16.67,26.0499992371,N/A,0.1,-50.0,天鉞電,5251.TWO,2026-03,-178.89999999999998,162.23,-4.35,📉 獲利侵蝕
⚪ 中性觀察,4.733637902171487,7.88,8.57,N/A,2025,-26.34,93.3000030518,N/A,1.42,-0.37,中菲,5403.TWO,2026-03,-179.3,152.96,295.65000000000003,📉 獲利侵蝕
❌ 暫避觀望,17.142857142857142,-24.49,0.01,N/A,2025,-81.89,24.0,N/A,0.48,-99.85,嘉威,3557.TW,2026-03,-179.72,97.83,21.0,📉 獲利侵蝕
❌ 暫避觀望,45.975103734439834,13.44,5.01,26.67%,2025,-70.51,554.0,15.62%,0.69,31.15,聯鈞,3450.TW,2026-03,-179.77,109.26,180.75,📉 獲利侵蝕
⚪ 中性觀察,4.689213824232176,0.49,4.57,N/A,2025,-23.33,51.2999992371,N/A,0.92,16.97,岱稜,3303.TWO,2026-03,-179.86,156.53,164.1,📉 獲利侵蝕
❌ 暫避觀望,48.54166507708333,-8.17,0.03,37.93%,2025,8.33,11.6499996185,11.05%,0.13,-94.0,中電,1611.TW,2026-03,-180.07999999999998,188.41,3.6,⚠️ 獲利稀釋
⚪ 中性觀察,5.765595463137996,-4.28,3.27,N/A,2025,-48.65,30.5,N/A,0.57,-56.63,森田,8410.TWO,2026-03,-180.4,131.75,79.35,📉 獲利侵蝕
⚪ 中性觀察,6.067708465789931,22.39,5.04,N/A,2025,-24.52,69.9000015259,N/A,1.18,-31.43,虎山,7736.TW,2026-03,-180.68,156.16,172.79999999999998,📉 獲利侵蝕
⚪ 中性觀察,3.39366515837104,-1.52,10.03,N/A,2025,-67.69,90.0,N/A,0.83,-10.98,波力-KY,8467.TW,2026-03,-180.94,113.25,397.80000000000007,📉 獲利侵蝕
⚪ 中性觀察,1.6822766845461097,55.14,3.44,N/A,2025,152.58,23.3500003815,N/A,2.45,66.99,坤悅,5206.TWO,2026-03,-182.03,334.61,208.2,⚠️ 獲利稀釋
❌ 暫避觀望,2760.0000381499976,5.6,0.05,N/A,2025,100.0,27.6000003815,N/A,0.02,66.67,宏齊,6168.TW,2026-03,-182.06,282.06,0.15000000000000013,⚠️ 獲利稀釋
⚪ 數據不足,0.0,16.01,-0.76,29.80%,2025,45.45,14.5,-5.26%,-0.12,18.37,東訊,2321.TW,2026-03,-183.29000000000002,228.74,-23.549999999999997,⚠️ 獲利稀釋
⚪ 中性觀察,6.659939455095863,20.5,4.2,39.87%,2025,-42.76,66.0,7.82%,0.83,2.69,倫飛,2364.TW,2026-03,-183.38,140.62,148.65,📉 獲利侵蝕
⚪ 數據不足,0.0,4.22,-3.97,N/A,2025,-34.88,24.4500007629,N/A,-1.18,-85.58,科懋,6496.TWO,2026-03,-183.4,148.52,-152.85,📉 獲利侵蝕
⚪ 中性觀察,10.935799782372143,13.67,6.9,N/A,2025,2.36,201.0,N/A,2.6,-8.99,宸曜,6922.TWO,2026-03,-184.0,186.36,275.7,⚠️ 獲利稀釋
⚪ 數據不足,0.0,-1.34,-0.36,33.58%,2025,8.33,12.8500003815,-3.01%,-0.11,-5.88,優盛,4121.TWO,2026-03,-184.14,192.47,-13.799999999999999,⚠️ 獲利稀釋
⚪ 中性觀察,5.390532454094675,-15.36,1.57,N/A,2025,-99.76,45.5499992371,N/A,0.01,137.2,安格,6684.TWO,2026-03,-184.59,84.83,126.74999999999999,📉 獲利侵蝕
⚪ 中性觀察,11.288805268109126,1.82,4.68,33.38%,2025,92.31,120.0,10.77%,2.25,-37.99,艾訊,3088.TWO,2026-03,-185.04000000000002,277.35,159.45,⚠️ 獲利稀釋
⚪ 中性觀察,3.1545741324921135,6.1,10.02,N/A,2025,-45.58,80.0,N/A,1.23,13.09,生展,8279.TWO,2026-03,-185.14999999999998,139.57,380.4,📉 獲利侵蝕
⚪ 中性觀察,8.034006214038257,2.32,3.45,31.73%,2025,26.37,75.5999984741,2.59%,1.15,-5.22,統一,1216.TW,2026-03,-185.4,211.77,141.15,⚠️ 獲利稀釋
⚪ 中性觀察,8.161290076467742,5.66,2.65,N/A,2025,-2.33,50.5999984741,N/A,0.42,22.61,碩網,7547.TWO,2026-03,-185.5,183.17,92.99999999999999,📉 獲利侵蝕
⚪ 中性觀察,14.425287575545976,-13.56,1.03,N/A,2025,19.05,50.2000007629,N/A,0.5,-54.63,凌通,4952.TW,2026-03,-185.56,204.61,52.2,⚠️ 獲利稀釋
⚪ 中性觀察,14.60612691466083,6.74,4.0,N/A,2025,6.4,133.5,N/A,1.34,4.76,宏觀,6568.TWO,2026-03,-185.79,192.19,137.10000000000002,⚠️ 獲利稀釋
⚪ 中性觀察,4.18960244648318,-3.69,13.97,N/A,2025,-12.5,137.0,N/A,4.41,-26.4,帝寶,6605.TW,2026-03,-185.92,173.42,490.50000000000006,📉 獲利侵蝕
⚪ 中性觀察,9.4124358243012,19.07,7.39,38.51%,2025,-3.23,165.0,18.05%,1.8,4.56,融程電,3416.TW,2026-03,-186.06,182.83,262.95,📉 獲利侵蝕
❌ 暫避觀望,59.941520467836256,-25.1,1.8,N/A,2025,46.38,307.5,N/A,1.02,-65.38,嘉基,6715.TW,2026-03,-186.09,232.47,76.95,⚠️ 獲利稀釋
⚪ 中性觀察,8.490953947368421,3.18,11.33,33.00%,2025,-38.46,206.5,13.69%,2.63,-37.78,可成,2474.TW,2026-03,-186.16,147.7,364.8,📉 獲利侵蝕
⚪ 中性觀察,12.843355605048252,6.37,5.73,N/A,2025,9.03,173.0,N/A,1.57,19.71,富鼎,8261.TW,2026-03,-186.21,195.24,202.05000000000004,⚠️ 獲利稀釋
⚪ 中性觀察,8.94854586129754,22.89,13.04,N/A,2025,40.71,280.0,N/A,3.68,31.94,茂達,6138.TWO,2026-03,-186.28,226.99,469.34999999999997,⚠️ 獲利稀釋
⚪ 中性觀察,5.78260891678261,11.98,1.8,13.84%,2025,560.0,19.9500007629,7.24%,0.33,25.87,欣陸,3703.TW,2026-03,-186.28999999999996,746.29,51.74999999999999,⚠️ 獲利稀釋
⚪ 數據不足,0.0,-20.79,-1.72,N/A,2025,18.42,26.4500007629,N/A,-0.31,-129.33,上亞科技,6130.TWO,2026-03,-186.60000000000002,205.02,-57.3,⚠️ 獲利稀釋
⚪ 中性觀察,14.688601645123384,2.26,3.34,30.67%,2025,108.06,125.0,19.78%,1.29,-11.97,聯電,2303.TW,2026-03,-187.08999999999997,295.15,127.64999999999999,⚠️ 獲利稀釋
⚪ 數據不足,0.0,-23.26,0.21,18.12%,2025,-34.62,12.8999996185,2.42%,0.17,-77.66,昶和,1468.TW,2026-03,-187.21,152.59,-0.5999999999999996,📉 獲利侵蝕
⚪ 數據不足,0.0,-72.48,-1.11,-8.98%,2025,62.2,24.7000007629,-223.66%,-0.31,58.98,德晉,3466.TWO,2026-03,-187.35000000000002,249.55,-46.50000000000001,⚠️ 獲利稀釋
⚪ 數據不足,0.0,29.3,0.49,41.27%,2025,66.67,47.2999992371,10.21%,-0.07,-63.43,磐儀,3594.TWO,2026-03,-187.85000000000002,254.52,-0.5999999999999996,⚠️ 獲利稀釋
❌ 暫避觀望,47.239263803680984,20.44,2.01,38.42%,2025,118.18,231.0,13.23%,0.96,294.12,大銀微系統,4576.TW,2026-03,-187.90999999999997,306.09,73.35,⚠️ 獲利稀釋
⚪ 中性觀察,9.677419354838712,11.44,4.81,25.60%,2025,18.82,138.0,4.49%,2.05,-34.26,宜特,3289.TWO,2026-03,-188.26000000000002,207.08,213.89999999999998,⚠️ 獲利稀釋
⚪ 中性觀察,7.198660714285715,5.0,1.63,30.15%,2025,30.65,32.25,7.57%,0.81,27.34,五鼎,1733.TW,2026-03,-188.87,219.52,67.19999999999999,⚠️ 獲利稀釋
⚪ 數據不足,0.0,-4.71,-9.56,N/A,2025,-41.67,19.8500003815,N/A,0.28,-431.94,上福,6128.TW,2026-03,-188.97000000000003,147.3,-268.8,🔄 轉虧為盈
⚪ 中性觀察,3.9099526066350707,2.05,4.1,N/A,2025,-43.51,41.25,N/A,0.87,-13.68,百和,9938.TW,2026-03,-189.29,145.78,158.25,📉 獲利侵蝕
⚪ 中性觀察,3.97435907731444,6.92,3.02,33.75%,2025,-17.39,29.4500007629,16.61%,0.76,48.04,強信-KY,4560.TW,2026-03,-189.35000000000002,171.96,111.15,📉 獲利侵蝕
❌ 暫避觀望,16.577129700690712,-11.96,15.5,29.12%,2025,-81.73,648.0,0.48%,1.54,-38.69,營邦,3693.TWO,2026-03,-189.51,107.78,586.35,📉 獲利侵蝕
⚪ 中性觀察,8.384945212005716,16.17,8.36,36.55%,2025,15.17,176.0,18.42%,2.46,17.2,世禾,3551.TWO,2026-03,-189.9,205.07,314.85,⚠️ 獲利稀釋
❌ 暫避觀望,23.1484450144277,20.89,13.99,42.20%,2025,9.67,722.0,19.22%,3.29,-6.3,華城,1519.TW,2026-03,-190.43,200.1,467.85,⚠️ 獲利稀釋
❌ 暫避觀望,22.919255606149072,-10.89,1.13,43.31%,2025,3.13,36.9000015259,9.76%,0.33,-49.1,普安,2495.TW,2026-03,-191.19,194.32,24.15,⚠️ 獲利稀釋
⚪ 中性觀察,4.213787879620449,2.41,5.77,28.71%,2025,-17.11,54.4000015259,12.48%,1.9,-18.35,友輝,4933.TWO,2026-03,-191.64999999999998,174.54,193.65,📉 獲利侵蝕
⚪ 中性觀察,7.852760736196319,11.78,3.77,N/A,2025,177.08,64.0,N/A,1.33,-7.65,迎廣,6117.TW,2026-03,-192.04999999999998,369.13,122.25,⚠️ 獲利稀釋
⚪ 數據不足,0.0,-52.73,-0.92,N/A,2025,94.64,15.3000001907,N/A,-0.03,53.77,創業家,8477.TWO,2026-03,-192.17000000000002,286.81,-30.450000000000003,⚠️ 獲利稀釋
⚪ 中性觀察,6.143001007049346,19.44,3.53,N/A,2025,39.39,61.0,N/A,1.38,61.93,幸康,3332.TWO,2026-03,-192.23000000000002,231.62,148.95,⚠️ 獲利稀釋
❌ 暫避觀望,21.330089213300894,0.88,4.85,N/A,2025,64.76,263.0,N/A,1.73,-2.81,騰輝電子-KY,6672.TW,2026-03,-192.51,257.27,184.95,⚠️ 獲利稀釋
⚪ 數據不足,0.0,12.63,-0.06,N/A,2025,-103.03,25.8999996185,N/A,-0.67,-102.22,凱衛,5201.TWO,2026-03,-192.66,89.63,-22.8,📉 獲利侵蝕
⚪ 數據不足,0.0,-29.93,-3.43,5.61%,2025,-20.0,22.9500007629,-198.78%,-0.48,-35.42,揚智,3041.TW,2026-03,-192.74,172.74,-106.95,📉 獲利侵蝕
