advice,pe,prev_rev_yoy,prev_eps,gm,prev_year,eps_yoy,price,om,eps,prev_eps_yoy,name,symbol,date,expansion,rev_yoy,est_price,status
⚠️ 追價風險,22.038461245000004,9.95,0.73,N/A,2025,380.0,28.6499996185,N/A,0.24,207.35,寶碩,5210.TWO,2026-03,342.59000000000003,37.41,19.499999999999996,🚀 利潤擴張
⚪ 數據不足,0.0,25.85,-0.2,N/A,2025,1090.0,39.0999984741,N/A,0.99,90.52,鈺鎧,5228.TWO,2026-03,339.47,750.53,-8.4,🔄 轉虧為盈
💎 強力關注,11.118314177325772,5.96,2.35,N/A,2025,517.65,68.5999984741,N/A,1.42,1.73,亞洲藏壽司,2754.TWO,2026-03,338.21999999999997,179.43,92.55,🚀 利潤擴張
⚠️ 追價風險,37.67045627943182,-3.75,0.92,42.07%,2025,550.0,66.3000030518,14.30%,0.13,170.59,旭然,4556.TWO,2026-03,312.59000000000003,237.41,26.4,🚀 利潤擴張
✅ 穩健價值,14.07514472919075,-5.82,0.57,30.11%,2025,650.0,24.3500003815,7.94%,0.15,-29.63,協禧,3071.TWO,2026-03,306.68,343.32,25.95,🚀 利潤擴張
✅ 穩健價值,14.304105278214848,23.29,41.98,N/A,2025,1143.3,2000.0,N/A,68.8,3.78,群聯,8299.TWO,2026-03,293.43999999999994,849.86,2097.2999999999997,🚀 利潤擴張
⚪ 數據不足,0.0,-14.91,-0.43,N/A,2025,546.67,34.0999984741,N/A,0.67,-150.59,慧智,6615.TWO,2026-03,276.36999999999995,270.3,-2.2499999999999996,🔄 轉虧為盈
⚪ 數據不足,0.0,0.1,0.18,N/A,2025,640.0,43.2000007629,N/A,0.27,550.0,康舒,6282.TW,2026-03,268.97,371.03,-9.150000000000002,🚀 利潤擴張
⚪ 數據不足,0.0,5.03,-0.76,N/A,2025,445.45,21.8999996185,N/A,0.38,55.83,三貝德,8489.TWO,2026-03,258.58,186.87,-20.1,🔄 轉虧為盈
✅ 穩健價值,12.057356227955113,0.89,1.77,18.73%,2025,701.79,96.6999969482,8.07%,4.49,8050.0,事欣科,4916.TW,2026-03,228.27999999999997,473.51,120.3,🚀 利潤擴張
💎 強力關注,5.306122578741497,-3.15,0.88,N/A,2025,518.75,15.6000003815,N/A,2.97,-66.67,銘旺實,4432.TWO,2026-03,226.35000000000002,292.4,44.1,🚀 利潤擴張
💎 強力關注,9.724489523469387,-61.59,0.88,35.38%,2025,350.0,9.529999733,-88.29%,0.45,51.72,中美實,4702.TWO,2026-03,217.69,132.31,14.700000000000001,🚀 利潤擴張
💎 強力關注,4.284412032816773,5.83,13.25,N/A,2025,512.9,141.0,N/A,3.8,33.97,東哥遊艇,8478.TW,2026-03,215.22999999999996,297.67,493.65000000000003,🚀 利潤擴張
💎 強力關注,7.240704500978473,3.39,1.65,13.61%,2025,925.0,37.0,8.70%,0.66,-21.15,大亞,1609.TW,2026-03,211.49,713.51,76.65,🚀 利潤擴張
⚪ 數據不足,0.0,3.55,0.08,19.34%,2025,213.33,22.0499992371,7.12%,0.47,-80.0,聯嘉投控,3717.TW,2026-03,186.79000000000002,26.54,0.0,🚀 利潤擴張
⚪ 數據不足,0.0,-10.9,-1.82,N/A,2025,266.67,47.3499984741,N/A,0.33,-280.2,巨虹,8084.TWO,2026-03,185.94,80.73,-43.199999999999996,🔄 轉虧為盈
💎 強力關注,7.424242302567784,18.23,2.02,30.40%,2025,728.13,46.5499992371,14.85%,2.65,25.64,東浦,3290.TWO,2026-03,185.43999999999994,542.69,94.05,🚀 利潤擴張
⚪ 數據不足,0.0,-15.68,-0.17,N/A,2025,550.0,16.0499992371,N/A,0.09,-177.27,同協,5460.TWO,2026-03,164.05,385.95,-7.95,🔄 轉虧為盈
⚪ 數據不足,0.0,32.98,1.54,N/A,2025,276.67,0.0,N/A,0.53,1640.0,未知,4582.TWO,2026-03,160.65000000000003,116.02,0.0,🚀 利潤擴張
⚪ 數據不足,0.0,32.98,1.54,N/A,2025,276.67,23.3999996185,N/A,0.53,1640.0,聚恆-創,4582.TW,2026-03,160.65000000000003,116.02,0.0,🚀 利潤擴張
⚪ 數據不足,0.0,-2.43,-0.25,10.78%,2025,700.0,95.0,-2.91%,0.06,-219.05,鼎元,2426.TW,2026-03,157.99,542.01,-6.6,🔄 轉虧為盈
⚪ 數據不足,0.0,2.69,-0.19,56.31%,2025,264.29,41.7000007629,8.42%,0.28,54.55,圓剛,2417.TW,2026-03,156.05,108.24,-25.049999999999997,🔄 轉虧為盈
